Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
2160.0,0.522,0.713,0.397,-0.11,-0.13,-0.13
2160.25,0.408,0.705,0.356,-0.18,-0.14,-0.17
2160.5,0.52,0.725,0.356,-0.1,-0.15,-0.17
2160.75,0.447,0.7,0.35,-0.16,-0.14,-0.18
2161.0,0.477,0.693,0.365,-0.14,-0.14,-0.17
2161.25,0.439,0.693,0.405,-0.16,-0.14,-0.13
2161.5,0.489,0.693,0.364,-0.13,-0.14,-0.17
2161.75,0.527,0.698,0.35,-0.093,-0.14,-0.18
2162.0,0.536,0.766,0.35,-0.081,-0.057,-0.18
2162.25,0.577,0.808,0.35,-0.059,-0.0013,-0.18
2162.5,0.522,0.829,0.375,-0.088,0.0269,-0.16
2162.75,0.459,0.803,0.4,-0.14,-0.0031,-0.14
2163.0,0.446,0.744,0.35,-0.16,-0.11,-0.18
2163.25,0.491,0.757,0.35,-0.13,-0.14,-0.18
2163.5,0.412,0.73,0.35,-0.18,-0.14,-0.18
2163.75,0.502,0.721,0.355,-0.12,-0.14,-0.18
2164.0,0.431,0.717,0.411,-0.17,-0.15,-0.12
2164.25,0.565,0.707,0.354,-0.069,-0.14,-0.18
2164.5,0.413,0.715,0.35,-0.18,-0.14,-0.18
2164.75,0.515,0.72,0.35,-0.12,-0.14,-0.18
2165.0,0.428,0.694,0.35,-0.18,-0.14,-0.18
2165.25,0.477,0.698,0.378,-0.13,-0.13,-0.15
2165.5,0.426,0.703,0.409,-0.18,-0.14,-0.13
2165.75,0.497,0.71,0.352,-0.13,-0.13,-0.18
2166.0,0.412,0.704,0.35,-0.18,-0.14,-0.18
2166.25,0.515,0.694,0.35,-0.12,-0.14,-0.18
2166.5,0.477,0.702,0.35,-0.15,-0.13,-0.18
2166.75,0.652,0.876,0.557,0.0189,-0.02,-0.017
2167.0,1.46,1.94,1.02,0.14,0.138,-0.0022
2167.25,1.9,3.09,1.33,0.116,0.385,-0.21
2167.5,2.16,4.76,2.03,0.32,1.58,0.00087
2167.75,2.06,3.66,1.98,-0.19,0.795,-0.4
2168.0,2.55,3.43,3.67,0.14,0.369,0.0497
2168.25,3.89,5.11,4.56,-0.31,0.249,0.0662
2168.5,5.02,5.88,6.13,-0.35,0.144,-0.33
2168.75,7.06,6.36,7.12,-0.12,0.743,-0.14
2169.0,6.49,7.58,7.76,-0.77,0.0805,-0.74
2169.25,7.2,8.1,8.8,-0.42,0.0392,-0.41
2169.5,7.11,7.11,8.68,-0.65,-0.42,-0.63
2169.75,7.22,9.89,9.03,-0.58,1.01,-0.45
2170.0,6.56,7.69,8.59,-0.62,0.26,-0.84
2170.25,4.85,7.45,8.24,-0.6,-0.016,-0.63
2170.5,6.75,7.38,8.48,-0.63,0.207,-0.52
2170.75,6.7,7.77,8.54,-0.72,0.641,-0.6
2171.0,6.22,7.51,8.56,-0.8,0.601,-0.64
2171.25,6.02,6.67,8.0,-0.89,-0.2,-0.68
2171.5,5.92,7.04,7.96,-0.83,0.042,-0.64
2171.75,5.64,7.06,7.9,-0.37,0.573,-0.09
2172.0,3.93,8.83,5.08,-0.49,1.62,-0.39
2172.25,2.9,6.97,3.67,-0.45,0.0469,-0.55
2172.5,3.2,8.5,4.48,-0.045,0.868,-0.054
2172.75,2.82,7.28,4.58,-0.42,0.105,-0.45
2173.0,4.58,9.03,5.35,-0.52,1.38,-0.48
2173.25,5.25,8.16,5.37,-0.63,0.393,-0.59
2173.5,6.03,9.28,6.44,-0.34,-0.041,-0.19
2173.75,6.68,11.4,7.54,-0.12,0.775,-0.48
2174.0,6.65,12.7,8.56,-0.16,0.63,-0.65
