Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM4,Consumo_P_SIM4_kWh,Consumo_Q_SIM4_kVArh,DemandaMax_P_SIM4_kW,DemandaMax_Q_SIM4_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1325374.08575,125450.71975,4613.75,545.443,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,55386.57975,12683.5372,1414.109,380.403,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1371933.55625,134061.692405,5306.88,562.5840000000001,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,64571.22375,13332.282425,1722.445,417.91,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1468647.19825,131066.373975,5437.719999999999,493.509,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,79094.83625,12620.60395,2045.943,304.184,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1115919.8905,74902.8176296,3501.11,290.6746,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,59119.38925,8312.793725,1330.271,281.0101,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1163495.98075,63113.2121415,3465.16,333.022,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,67153.0805,7789.9516,1733.875,206.3761,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1311738.510875,51735.2276615,4389.14,222.4198,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,79026.5595,6557.62915,1874.0930000000003,162.9481,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1308162.39225,41614.8757403175,4620.56,209.4949,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,74264.71975,6419.689125,2398.182,190.0417,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1223399.48,46149.8934311,3468.34,199.8404,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,70403.756272,7350.790855,1601.049,231.4068,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1140808.29825,55204.53248645,3105.4,260.016,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,66365.9195,8369.81155,1310.074,202.7696,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1175795.6501,71969.3350175,3909.95,371.67,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,68442.51575,10281.2767,1527.318,291.4633,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1263112.79425,89606.394425,5376.57,456.65600000000006,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,67934.875,10726.116325,2324.286,369.829,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1285594.985,104710.150475,5285.61,493.21400000000006,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,63359.938,13498.381125,2150.822,398.863,264
