MES,R$SIM2,R$SIM4,Economia_R$,Economia_%
JAN,1128292.66,1064437.36,63855.3,5.659
FEV,1195764.83,1132208.6,63556.23,5.315
MAR,1273832.45,1210744.32,63088.13,4.953
ABR,1015371.32,950882.14,64489.18,6.351
MAI,1051258.3,987090.62,64167.68,6.104
JUN,1144916.86,1080103.46,64813.4,5.661
JUL,1189511.26,1130137.48,59373.78,4.991
AGO,1082950.95,1018778.05,64172.9,5.926
SET,1031786.29,966693.6,65092.69,6.309
OUT,1058766.29,993991.13,64775.16,6.118
NOV,1163254.84,1122783.18,40471.66,3.479
DEZ,1154141.31,1090426.19,63715.12,5.521
TOTAIS,13489847.359999998,12748276.13,741571.2300000001,5.497254418155256
