Mes,Posto,N_pontos_SIM18,Consumo_P_SIM18_kWh,Consumo_Q_SIM18_kVArh,DemandaMax_P_SIM18_kW,DemandaMax_Q_SIM18_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1578512.2905000001,180523.104525,5147.7,665.1379999999999,2712
JANEIRO,PONTA,264,-3.2525861999999983,18624.47405,0.204057,537.068,264
FEVEREIRO,FORA_PONTA,2448,1634203.985,186854.57188,5603.31,683.556,2448
FEVEREIRO,PONTA,240,-1.7945637749999988,19997.22935,2.160607,592.604,240
MARCO,FORA_PONTA,2736,1761939.9655,188319.111625,5605.48,612.742,2736
MARCO,PONTA,240,358.4769468,20382.735425,361.17,482.449,240
ABRIL,FORA_PONTA,2640,1346087.33325,123131.3994,4476.8,381.524,2640
ABRIL,PONTA,240,-1.631717224999999,13961.43495,0.220594,418.392,240
MAIO,FORA_PONTA,2724,1406900.14375,111500.3758,4479.68,424.271,2724
MAIO,PONTA,252,1.2084889500000016,14030.033075,13.59547,311.56600000000003,252
JUNHO,FORA_PONTA,2640,1584116.092025,98201.4024175,4896.84,332.182,2640
JUNHO,PONTA,240,341.340435075,13674.311575,169.739,310.157,240
JULHO,FORA_PONTA,2700,1581907.0225,88012.142935,5153.9400000000005,319.854,2700
JULHO,PONTA,276,2118.35318085,13027.056375,750.439,355.107,276
AGOSTO,FORA_PONTA,2724,1478474.31175,92761.7622325,4481.39,332.12,2724
AGOSTO,PONTA,252,-0.7199523999999997,13826.989917500001,0.205395,338.29,252
SETEMBRO,FORA_PONTA,2616,1382690.509,101323.614525,4484.24,359.938,2616
SETEMBRO,PONTA,264,-1.466620899999999,14586.674775,0.194738,319.942,264
OUTUBRO,FORA_PONTA,2700,1424424.9379750001,121288.80206,4482.950000000001,468.925,2700
OUTUBRO,PONTA,276,-1.811535149999999,16912.4146,0.2179789999999999,422.195,276
NOVEMBRO,FORA_PONTA,2652,1517157.7645,140161.333525,5602.32,569.557,2652
NOVEMBRO,PONTA,228,910.97913745,17341.6198,669.62,555.277,228
DEZEMBRO,FORA_PONTA,2712,1539412.86525,157612.237775,5605.05,606.088,2712
DEZEMBRO,PONTA,264,519.856976925,20228.686075,477.189,587.211,264
