Descricao,Valor
kWh fornecido (EnergyMeter kWh),16480837.0
kWh da carga (Zone kWh),15109478.0
Zone losses (Zone Losses kWh),926807.0
Perdas na linha MT (Line Losses kWh),28057.0
Perdas nos trafos (Transformer Losses kWh),898739.0
Perdas em vazio ferro (No Load Losses kWh),844342.0
Perdas em carga cobre (Transformer - NoLoad) kWh,54397.0
