Descricao,Valor
kWh fornecido (EnergyMeter kWh),17822393.0
kWh da carga (Zone kWh),16512860.0
Zone losses (Zone Losses kWh),925203.0
Perdas na linha MT (Line Losses kWh),32192.0
Perdas nos trafos (Transformer Losses kWh),893007.0
Perdas em vazio ferro (No Load Losses kWh),842551.0
Perdas em carga cobre (Transformer - NoLoad) kWh,50456.0
