MES,R$SIM2,R$SIM22,Economia_R$,Economia_%
JAN,1128292.66,930799.78,197492.88,17.504
FEV,1195764.83,961814.74,233950.09,19.565
MAR,1273832.45,1025569.07,248263.38,19.489
ABR,1015371.32,817556.22,197815.1,19.482
MAI,1051258.3,848362.66,202895.64,19.3
JUN,1144916.86,936871.36,208045.5,18.171
JUL,1189511.26,1005095.62,184415.64,15.503
AGO,1082950.95,879020.21,203930.74,18.831
SET,1031786.29,832486.98,199299.31,19.316
OUT,1058766.29,855693.2,203073.09,19.18
NOV,1163254.84,956999.66,206255.18,17.731
DEZ,1154141.31,922899.78,231241.53,20.036
TOTAIS,13489847.359999998,10973169.28,2516678.08,18.656090116055996
