Descricao,Valor
kWh fornecido (EnergyMeter kWh),13149784.0
kWh da carga (Zone kWh),14838437.0
Zone losses (Zone Losses kWh),905379.0
Perdas na linha MT (Line Losses kWh),17928.0
Perdas nos trafos (Transformer Losses kWh),887441.0
Perdas em vazio ferro (No Load Losses kWh),848300.0
Perdas em carga cobre (Transformer - NoLoad) kWh,39141.0
