Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Injecao_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Inj_SIM2_kW,N_pontos_SIM32,Consumo_P_SIM32_kWh,Injecao_P_SIM32_kWh,Consumo_Q_SIM32_kVArh,DemandaMax_P_SIM32_kW,DemandaMax_Inj_SIM32_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,0.0,111081.57335,4601.09,0.0,2712,959853.022605,2619.2505905000003,139010.2786,3510.1400000000003,301.041,2712
JANEIRO,PONTA,264,106519.01625,0.0,8881.22425,2189.518,0.0,264,99747.627,0.0,10850.094000000001,1966.405,0.0,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,0.0,121155.239031,5293.83,0.0,2448,1072899.27171325,347.1737425,144974.73701,4282.13,162.34300000000002,2448
FEVEREIRO,PONTA,240,111067.2575,0.0,9884.754675,2497.443,0.0,240,106143.89225,0.0,11660.8112,2273.199,0.0,240
MARCO,FORA_PONTA,2736,1398718.94925,0.0,117092.46215,5424.81,0.0,2736,1151230.9824221751,568.6277253,143892.791775,4577.54,223.0378,2736
MARCO,PONTA,240,125599.891,0.0,9179.0273,2821.215,0.0,240,122277.50925,0.0,10953.963575,2685.695,0.0,240
ABRIL,FORA_PONTA,2640,1046336.75975,0.0,61263.5519619,3488.3900000000003,0.0,2640,855285.4530273075,5010.547349,85779.416435,3127.48,416.026,2640
ABRIL,PONTA,240,105623.26225,0.0,4871.96111,2105.641,0.0,240,105961.08899999999,0.0,6609.9166000000005,2111.186,0.0,240
MAIO,FORA_PONTA,2724,1089969.021,0.0,48919.905416855,3452.44,0.0,2724,949357.7933227,2462.97700925,72218.7539725,3188.86,244.9961,2724
MAIO,PONTA,252,115993.521,0.0,4187.1933913,2510.263,0.0,252,116347.85625,0.0,6010.9336075,2515.864,0.0,252
JUNHO,FORA_PONTA,2640,1242724.09375,0.0,38102.155019485,4376.42,0.0,2640,1124451.5001775,56.9214775,60486.38917,4182.11,71.4653,2640
JUNHO,PONTA,240,125569.913,0.0,3151.4850875,2650.217,0.0,240,125906.39125,0.0,4884.048825,2655.84,0.0,240
JULHO,FORA_PONTA,2700,1229188.7010000001,0.0,27148.2271470175,4607.84,0.0,2700,1081011.3013,529.0159825000001,50319.565024275,4044.1,266.5953,2700
JULHO,PONTA,276,127765.63075,0.0,2482.835064725,3175.17,0.0,276,128153.74,0.0,4481.1686025,3180.49,0.0,276
AGOSTO,FORA_PONTA,2724,1150062.316,0.0,31955.9060229875,3455.62,0.0,2724,984385.457234475,2156.5678225,56052.777444175,3145.56,279.079,2724
AGOSTO,PONTA,252,119110.506175,0.0,3766.06350575,2377.106,0.0,252,119464.757625,0.0,5589.0637175,2382.713,0.0,252
SETEMBRO,FORA_PONTA,2616,1065787.183,0.0,41289.61118589175,3092.4700000000003,0.0,2616,872751.70428325,628.16522,65741.0582325,2695.34,210.5387,2616
SETEMBRO,PONTA,264,117526.443,0.0,4590.8948225,2085.462,0.0,264,117322.24625,0.0,6509.4491,2091.078,0.0,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,0.0,57517.6741775,3897.04,0.0,2700,864877.57455075,1878.96737,83980.834575,3254.68,372.227,2700
OUTUBRO,PONTA,276,121921.60075,0.0,6324.1117525,2302.502,0.0,276,119999.4665,0.0,8341.384325,2220.919,0.0,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,0.0,76081.170921425,5363.5,0.0,2652,921454.926382,2212.36420325,103369.0102625,4412.78,427.745,2652
NOVEMBRO,PONTA,228,112115.74475,0.0,7458.345525,3100.21,0.0,228,109212.088,0.0,9122.101125,2758.322,0.0,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,0.0,90455.0494375,5272.67,0.0,2712,957484.038718,899.42401225,117101.137225,4278.950000000001,238.6413,2712
DEZEMBRO,PONTA,264,114506.35875,0.0,9707.184525,2926.615,0.0,264,110122.56875,0.0,11644.3598,2520.6710000000003,0.0,264
