MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,3510,1966,959853.0,99748.0,2619.0,0.0,301,0,0.0,0.0,2619.0,0.0,957234.0,99748.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,1034.0,115268.4,163846.44,26987.4,71521.78,0.0,0.0,143977.95,14962.2,759.51,0.0,354386.1,58851.32,949801.59
FEV,4282,2273,1072899.0,106144.0,347.0,0.0,162,0,0.0,0.0,347.0,0.0,1072552.0,106144.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,727.0,140620.88,189431.82,5942.68,50286.59,0.0,0.0,160934.85,15921.6,100.63,0.0,396872.0,62624.96,1022635.38
MAR,4578,2686,1151231.0,122278.0,569.0,0.0,223,0,0.0,0.0,569.0,0.0,1150662.0,122278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,150341.52,223851.24,0.0,21719.38,0.0,0.0,172684.65,18341.7,165.01,0.0,425790.46,72144.02,1084872.97
ABR,3127,2111,855285.0,105961.0,5011.0,0.0,416,0,0.0,0.0,5011.0,0.0,850274.0,105961.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,889.0,102690.68,175930.74,37427.98,61492.13,0.0,0.0,128292.75,15894.15,1453.19,0.0,315002.26,62516.99,899247.68
MAI,3189,2516,949358.0,116348.0,2463.0,0.0,245,0,0.0,0.0,2463.0,0.0,946895.0,116348.0,0.0,0.0,0.0,0.0,0.0,0.0,1311.0,484.0,104726.76,209683.44,35737.86,33478.28,0.0,0.0,142403.7,17452.2,714.27,0.0,350548.19,68645.32,962675.75
JUN,4182,2656,1124452.0,125906.0,57.0,0.0,71,0,0.0,0.0,57.0,0.0,1124395.0,125906.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,344.0,137336.88,221351.04,8668.68,23794.48,0.0,0.0,168667.8,18885.9,16.53,0.0,416030.71,74284.54,1069020.03
JUL,4044,3180,1081011.0,128154.0,529.0,0.0,267,0,0.0,0.0,529.0,0.0,1080482.0,128154.0,0.0,0.0,0.0,0.0,0.0,180.0,456.0,0.0,132804.96,265021.2,12430.56,0.0,0.0,30002.4,162151.65,19223.1,153.41,0.0,399820.66,75610.86,1097065.39
AGO,3146,2383,984385.0,119465.0,2157.0,0.0,279,0,0.0,0.0,2157.0,0.0,982228.0,119465.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.0,617.0,103314.64,198599.22,36910.04,42677.89,0.0,0.0,147657.75,17919.75,625.53,0.0,363596.92,70484.35,981160.56
SET,2695,2091,872752.0,117322.0,628.0,0.0,211,0,0.0,0.0,628.0,0.0,872124.0,117322.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0,909.0,88503.8,174263.94,49204.3,62875.53,0.0,0.0,130912.8,17598.3,182.12,0.0,322736.12,69219.98,915314.77
OUT,3255,2221,864878.0,119999.0,1879.0,0.0,372,0,0.0,0.0,1879.0,0.0,862999.0,119999.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0,779.0,106894.2,185098.14,33938.7,53883.43,0.0,0.0,129731.7,17999.85,544.91,0.0,319459.95,70799.41,917805.38
NOV,4413,2758,921455.0,109212.0,2212.0,0.0,428,0,0.0,0.0,2212.0,0.0,919243.0,109212.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,242.0,144922.92,229851.72,2371.62,16739.14,0.0,0.0,138218.25,16381.8,641.48,0.0,340296.87,64435.08,953217.4
DEZ,4279,2521,957484.0,110123.0,899.0,0.0,239,0,0.0,0.0,899.0,0.0,956585.0,110123.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,479.0,140522.36,210100.14,6024.46,33132.43,0.0,0.0,143622.6,16518.45,260.71,0.0,354008.37,64972.57,968901.38
TOTAIS,4578,3180,11795043.0,1380660.0,19370.0,0.0,,,,,19370.0,0.0,11775673.0,1380660.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,11821718.280000001
