Descricao,Valor
kWh fornecido (EnergyMeter kWh),15680000.0
kWh da carga (Zone kWh),14838279.0
Zone losses (Zone Losses kWh),841718.0
Perdas na linha MT (Line Losses kWh),24421.0
Perdas nos trafos (Transformer Losses kWh),817298.0
Perdas em vazio ferro (No Load Losses kWh),796449.0
Perdas em carga cobre (Transformer - NoLoad) kWh,20849.0
