MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE"
JANEIRO,4604.0,2190.0,1248225.0,106528.0,0.0,0.0,396.0,810.0,151195.36,182514.6,10794.96,56027.7,0.0,0.0,187233.75,15979.2,461843.25,62851.52
FEVEREIRO,5303.0,2498.0,1303642.0,111073.0,303.0,0.0,0.0,502.0,174150.52,208183.32,0.0,34723.34,19901.04,0.0,195546.3,16660.95,482347.54,65533.07
MARCO,5434.0,2821.0,1399374.0,125604.0,434.0,0.0,0.0,179.0,178452.56,235102.14,0.0,12381.43,28505.12,0.0,209906.1,18840.6,517768.38,74106.36
ABRIL,3491.0,2106.0,1046567.0,105644.0,0.0,0.0,1509.0,894.0,114644.44,175514.04,41135.34,61837.98,0.0,0.0,156985.05,15846.6,387229.79,62329.96
MAIO,3454.0,2509.0,1090128.0,116022.0,0.0,0.0,1546.0,491.0,113429.36,209100.06,42143.96,33962.47,0.0,0.0,163519.2,17403.3,403347.36,68452.98
JUNHO,4378.0,2652.0,1242296.0,125642.0,0.0,0.0,622.0,348.0,143773.52,221017.68,16955.72,24071.16,0.0,0.0,186344.4,18846.3,459649.52,74128.78
JULHO,4610.0,3175.0,1229614.0,127819.0,0.0,175.0,390.0,0.0,151392.4,264604.5,10631.4,0.0,0.0,29169.0,184442.1,19172.85,454957.18,75413.21
AGOSTO,3456.0,2379.0,1150305.0,119130.0,0.0,0.0,1544.0,621.0,113495.04,198265.86,42089.44,42954.57,0.0,0.0,172545.75,17869.5,425612.85,70286.7
SETEMBRO,3092.0,2085.0,1066019.0,117547.0,0.0,0.0,1908.0,915.0,101541.28,173763.9,52012.08,63290.55,0.0,0.0,159902.85,17632.05,394427.03,69352.73
OUTUBRO,3898.0,2303.0,1096749.0,121937.0,0.0,0.0,1102.0,697.0,128010.32,191932.02,30040.52,48211.49,0.0,0.0,164512.35,18290.55,405797.13,71942.83
NOVEMBRO,5364.0,3100.0,1196255.0,112137.0,364.0,0.0,0.0,0.0,176153.76,258354.0,0.0,0.0,23907.52,0.0,179438.25,16820.55,442614.35,66160.83
DEZEMBRO,5277.0,2927.0,1210753.0,114524.0,277.0,0.0,0.0,73.0,173296.68,243936.18,0.0,5049.41,18193.36,0.0,181612.95,17178.6,447978.61,67569.16
TOTAIS,5434.0,3175.0,14279927.0,1403607.0,434.0,175.0,1908.0,915.0,1719535.24,2562288.3000000003,245803.42,382510.1,90507.04000000001,29169.0,2141989.0500000003,210541.04999999996,5283572.99,828128.13
CTOTAL,,,15683534.0,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,13494044.32,,,,,,,,,
DCFP,5000.0,,,,,,,,,,,,,,,,,
DCP,,3000.0,,,,,,,,,,,,,,,,
