Fonte,DMFP_max_kW,DMP_max_kW,CFP_kWh,CP_kWh,CTOTAL_kWh,R$TOTAL,Delta_R$TOTAL_SIM2_minus_RGE
RGE,5434.0,3175.0,14279927.0,1403607.0,15683534.0,13494044.32,-4196.959999999031
SIM2,5425.0,3175.0,14276681.0,1403320.0,15680001.0,13489847.360000001,-4196.959999999031
