Mes,Posto,N_pontos_RGE,Consumo_P_RGE_kWh,Consumo_Q_RGE_kVArh,DemandaMax_P_RGE_kW,DemandaMax_Q_RGE_kVAr,N_pontos_SIM,Consumo_P_SIM_kWh,Consumo_Q_SIM_kVArh,DemandaMax_P_SIM_kW,DemandaMax_Q_SIM_kVAr,N_pontos_META,Delta_DemandaMax_P_kW,Razao_DemandaMax_P
JANEIRO,FORA_PONTA,2712,1248225.44,133169.4,4604.32,621.6,2712,1247986.03125,111081.57335,4601.09,531.024,2712,-3.2299999999995634,0.9992984849011364
JANEIRO,PONTA,264,106527.96,10627.68,2189.6,444.64,264,106519.01625,8881.22425,2189.518,323.368,264,-0.08199999999987995,0.9999625502374864
FEVEREIRO,FORA_PONTA,2448,1303642.2,139153.28,5303.2,618.24,2448,1302918.6935,121155.239031,5293.83,548.232,2448,-9.36999999999989,0.9982331422537336
FEVEREIRO,PONTA,240,111073.2,11377.52,2497.6,431.2,240,111067.2575,9884.754675,2497.443,360.838,240,-0.15699999999969805,0.999937139654068
MARCO,FORA_PONTA,2736,1399373.92,133432.6,5434.24,543.2,2736,1398718.94925,117092.46215,5424.81,479.288,2736,-9.429999999999382,0.9982647067483219
MARCO,PONTA,240,125604.08,10149.16,2821.28,293.44,240,125599.891,9179.0273,2821.215,246.9417,240,-0.06500000000005457,0.9999769608121136
ABRIL,FORA_PONTA,2640,1046567.48,67374.72,3491.04,342.72,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,-2.649999999999636,0.9992409138823962
ABRIL,PONTA,240,105644.28,4911.2,2105.6,281.12,240,105623.26225,4871.96111,2105.641,223.8575,240,0.04100000000016735,1.0000194718844986
MAIO,FORA_PONTA,2724,1090128.2,45492.72,3454.08,362.88,2724,1089969.021,48919.905416855,3452.44,318.556,2724,-1.6399999999998727,0.9995251991847323
MAIO,PONTA,252,116021.64,3671.08,2508.8,199.36,252,115993.521,4187.1933913,2510.263,148.8718,252,1.462999999999738,1.0005831473214284
JUNHO,FORA_PONTA,2640,1242296.44,35899.36,4378.08,229.6,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,-1.6599999999998545,0.9996208383583671
JUNHO,PONTA,240,125642.16,2173.92,2652.16,109.76,240,125569.913,3151.4850875,2650.217,106.1559,240,-1.9429999999997563,0.999267389599421
JULHO,FORA_PONTA,2700,1229613.84,18383.4,4609.92,197.12,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,-2.0799999999999272,0.9995487991114813
JULHO,PONTA,276,127818.88,1556.52,3175.2,156.8,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,-0.02999999999974534,0.9999905517762662
AGOSTO,FORA_PONTA,2724,1150304.68,23991.24,3456.32,230.72,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,-0.7000000000002728,0.9997974724562539
AGOSTO,PONTA,252,119130.48,2534.0,2378.88,264.32,252,119110.506175,3766.06350575,2377.106,174.1023,252,-1.7739999999998872,0.9992542709174066
SETEMBRO,FORA_PONTA,2616,1066019.08,46725.0,3092.32,228.48,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,0.15000000000009095,1.0000485072696228
SETEMBRO,PONTA,264,117546.8,4562.32,2085.44,173.6,264,117526.443,4590.8948225,2085.462,145.6909,264,0.021999999999934516,1.0000105493325149
OUTUBRO,FORA_PONTA,2700,1096748.52,66635.52,3897.6,432.32,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,-0.5599999999999454,0.9998563218390805
OUTUBRO,PONTA,276,121936.92,6994.96,2302.72,308.0,276,121921.60075,6324.1117525,2302.502,234.2899,276,-0.2179999999998472,0.9999053293496387
NOVEMBRO,FORA_PONTA,2652,1196255.2,97195.28,5363.68,528.64,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,-0.18000000000029104,0.9999664409509889
NOVEMBRO,PONTA,228,112137.2,9667.56,3100.16,386.4,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,0.0500000000001819,1.000016128199835
DEZEMBRO,FORA_PONTA,2712,1210753.32,113746.92,5277.44,571.2,2712,1210240.697,90455.0494375,5272.67,478.684,2712,-4.769999999999527,0.9990961526800874
DEZEMBRO,PONTA,264,114524.2,12325.88,2926.56,439.04,264,114506.35875,9707.184525,2926.615,342.048,264,0.05499999999983629,1.000018793395659
