MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4666,0,1453393,-1,0.0,0.0,334.0,0.0,153231.44,0.0,9104.84,0.0,0.0,0.0,218008.95,-0.15,537755.41,-0.59,918099.9
FEV,5036,0,1499516,-1,0.0,0.0,0.0,0.0,165382.24,0.0,0.0,0.0,0.0,0.0,224927.4,-0.15,554820.92,-0.59,945129.82
MAR,5044,0,1618406,-1,0.0,0.0,0.0,0.0,165644.96,0.0,0.0,0.0,0.0,0.0,242760.9,-0.15,598810.22,-0.59,1007215.34
ABR,4039,0,1241247,-1,0.0,0.0,961.0,0.0,132640.76,0.0,26196.86,0.0,0.0,0.0,186187.05,-0.15,459261.39,-0.59,804285.32
MAI,4038,0,1297557,-2,0.0,0.0,962.0,0.0,132607.92,0.0,26224.12,0.0,0.0,0.0,194633.55,-0.3,480096.09,-1.18,833560.2
JUN,4440,0,1455049,-2,0.0,0.0,560.0,0.0,145809.6,0.0,15265.6,0.0,0.0,0.0,218257.35,-0.3,538368.13,-1.18,917699.2
JUL,4671,0,1455952,-3,0.0,0.0,329.0,0.0,153395.64,0.0,8968.54,0.0,0.0,0.0,218392.8,-0.45,538702.24,-1.77,919457.0
AGO,4040,0,1361094,-1,0.0,0.0,960.0,0.0,132673.6,0.0,26169.6,0.0,0.0,0.0,204164.1,-0.15,503604.78,-0.59,866611.34
SET,4039,0,1272666,-1,0.0,0.0,961.0,0.0,132640.76,0.0,26196.86,0.0,0.0,0.0,190899.9,-0.15,470886.42,-0.59,820623.2
OUT,4039,0,1314892,-1,0.0,0.0,961.0,0.0,132640.76,0.0,26196.86,0.0,0.0,0.0,197233.8,-0.15,486510.04,-0.59,842580.72
NOV,5037,0,1395872,-2,0.0,0.0,0.0,0.0,165415.08,0.0,0.0,0.0,0.0,0.0,209380.8,-0.3,516472.64,-1.18,891267.04
DEZ,5010,0,1416231,-1,0.0,0.0,0.0,0.0,164528.4,0.0,0.0,0.0,0.0,0.0,212434.65,-0.15,524005.47,-0.59,900967.78
TOTAIS,5044,0,16781875,-17,,,,,,,,,,,,,,,10667496.859999998
