MES,R$SIM2,R$SIM19,Economia_R$,Economia_%
JAN,1128292.66,918099.9,210192.76,18.629
FEV,1195764.83,945129.82,250635.01,20.96
MAR,1273832.45,1007215.34,266617.11,20.93
ABR,1015371.32,804285.32,211086.0,20.789
MAI,1051258.3,833560.2,217698.1,20.708
JUN,1144916.86,917699.2,227217.66,19.846
JUL,1189511.26,919457.0,270054.26,22.703
AGO,1082950.95,866611.34,216339.61,19.977
SET,1031786.29,820623.2,211163.09,20.466
OUT,1058766.29,842580.72,216185.57,20.419
NOV,1163254.84,891267.04,271987.8,23.382
DEZ,1154141.31,900967.78,253173.53,21.936
TOTAIS,13489847.359999998,10667496.859999998,2822350.4999999995,20.922034361699403
