Mes,Posto,N_pontos_SIM32,Consumo_P_SIM32_kWh,Injecao_P_SIM32_kWh,Consumo_Q_SIM32_kVArh,DemandaMax_P_SIM32_kW,DemandaMax_Inj_SIM32_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,977386.24457,2343.714624625,141704.7628,3573.92,287.8379,2712
JANEIRO,PONTA,264,101256.154,0.0,11079.6004,1994.503,0.0,264
FEVEREIRO,FORA_PONTA,2448,1091573.6792675,283.343724,147768.465655,4356.86,145.24259999999998,2448
FEVEREIRO,PONTA,240,107729.688,0.0,11899.043625,2307.672,0.0,240
MARCO,FORA_PONTA,2736,1171233.269217,495.25084250000003,146719.895825,4655.12,206.2242,2736
MARCO,PONTA,240,124082.2095,0.0,11183.913325,2726.732,0.0,240
ABRIL,FORA_PONTA,2640,869735.73576,4663.97486,87655.59976,3178.6000000000004,403.961,2640
ABRIL,PONTA,240,107464.78925,0.0,6771.15675,2141.443,0.0,240
MAIO,FORA_PONTA,2724,964519.80898762,2198.57574325,73945.3719725,3235.3900000000003,231.9445,2724
MAIO,PONTA,252,118003.568,0.0,6167.743375,2552.254,0.0,252
JUNHO,FORA_PONTA,2640,1142192.1416185,35.731125,62063.8387775,4246.58,55.6181,2640
JUNHO,PONTA,240,127711.383,0.0,5025.3113,2694.332,0.0,240
JULHO,FORA_PONTA,2700,1098499.37624,482.868915,51743.68798633,4106.93,253.157,2700
JULHO,PONTA,276,129978.545,0.0,4622.8353975,3226.91,0.0,276
AGOSTO,FORA_PONTA,2724,1000457.803604525,1898.48041125,57534.726473825,3196.24,265.1567,2724
AGOSTO,PONTA,252,121167.68875,0.0,5740.84851,2417.078,0.0,252
SETEMBRO,FORA_PONTA,2616,887765.215365,544.31694975,67311.29585,2736.352,194.5966,2616
SETEMBRO,PONTA,264,118996.651,0.0,6676.04775,2121.048,0.0,264
OUTUBRO,FORA_PONTA,2700,880255.0645075,1721.984665,85826.905675,3311.95,357.982,2700
OUTUBRO,PONTA,276,121735.67275,0.0,8538.20585,2252.84,0.0,276
NOVEMBRO,FORA_PONTA,2652,938341.5132862501,2053.405505,105505.83035,4486.219999999999,413.87,2652
NOVEMBRO,PONTA,228,110817.9895,0.0,9320.029775,2798.3540000000003,0.0,228
DEZEMBRO,FORA_PONTA,2712,974566.40434805,739.227375,119480.880725,4357.04,229.2254,2712
DEZEMBRO,PONTA,264,111751.58899999999,0.0,11887.58835,2563.282,0.0,264
