MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,3574,1995,977386.0,101256.0,2344.0,0.0,288,0,0.0,0.0,2344.0,0.0,975042.0,101256.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.0,1050.0,117370.16,166263.3,40917.26,72628.5,0.0,0.0,146607.9,15188.4,679.76,0.0,360953.06,59741.04,979669.62
FEV,4357,2308,1091574.0,107730.0,283.0,0.0,145,0,0.0,0.0,283.0,0.0,1091291.0,107730.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,737.0,143083.88,192348.72,19572.68,50978.29,0.0,0.0,163736.1,16159.5,82.07,0.0,403800.31,63560.7,1053240.18
MAR,4655,2727,1171233.0,124082.0,495.0,0.0,206,0,0.0,0.0,495.0,0.0,1170738.0,124082.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,318.0,152870.2,227268.18,11449.2,21996.06,0.0,0.0,175684.95,18612.3,143.55,0.0,433212.66,73208.38,1114301.93
ABR,3179,2141,869736.0,107465.0,4664.0,0.0,404,0,0.0,0.0,4664.0,0.0,865072.0,107465.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.0,904.0,104398.36,178430.94,51684.96,62529.68,0.0,0.0,130460.4,16119.75,1352.56,0.0,320449.76,63404.35,927478.2
MAI,3235,2552,964520.0,118004.0,2199.0,0.0,232,0,0.0,0.0,2199.0,0.0,962321.0,118004.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,493.0,106237.4,212683.68,50158.4,34100.81,0.0,0.0,144678.0,17700.6,637.71,0.0,356234.69,69622.36,991415.94
JUN,4247,2694,1142192.0,127711.0,36.0,0.0,56,0,0.0,0.0,36.0,0.0,1142156.0,127711.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,351.0,139471.48,224517.96,22571.28,24278.67,0.0,0.0,171328.8,19156.65,10.44,0.0,422600.6,75349.49,1099274.93
JUL,4107,3227,1098499.0,129979.0,483.0,0.0,253,0,0.0,0.0,483.0,0.0,1098016.0,129979.0,0.0,0.0,0.0,0.0,0.0,182.0,968.0,0.0,134873.88,268938.18,26387.68,0.0,0.0,30335.76,164774.85,19496.85,140.07,0.0,406304.56,76687.61,1127799.37
AGO,3196,2417,1000458.0,121168.0,1898.0,0.0,265,0,0.0,0.0,1898.0,0.0,998560.0,121168.0,0.0,0.0,0.0,0.0,0.0,0.0,1879.0,628.0,104956.64,201432.78,51221.54,43438.76,0.0,0.0,150068.7,18175.2,550.42,0.0,369619.04,71489.12,1010401.78
SET,2736,2121,887765.0,118997.0,544.0,0.0,195,0,0.0,0.0,544.0,0.0,887221.0,118997.0,0.0,0.0,0.0,0.0,0.0,0.0,2339.0,924.0,89850.24,176764.14,63761.14,63913.08,0.0,0.0,133164.75,17849.55,157.76,0.0,328315.29,70208.23,943826.42
OUT,3312,2253,880255.0,121736.0,1722.0,0.0,358,0,0.0,0.0,1722.0,0.0,878533.0,121736.0,0.0,0.0,0.0,0.0,0.0,0.0,1763.0,792.0,108766.08,187765.02,48059.38,54782.64,0.0,0.0,132038.25,18260.4,499.38,0.0,325194.97,71824.24,946690.98
NOV,4486,2798,938342.0,110818.0,2053.0,0.0,414,0,0.0,0.0,2053.0,0.0,936289.0,110818.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,247.0,147320.24,233185.32,16056.14,17084.99,0.0,0.0,140751.3,16622.7,595.37,0.0,346591.17,65382.62,982994.48
DEZ,4357,2563,974566.0,111752.0,739.0,0.0,229,0,0.0,0.0,739.0,0.0,973827.0,111752.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,482.0,143083.88,213600.42,19572.68,33339.94,0.0,0.0,146184.9,16762.8,214.31,0.0,360375.11,65933.68,998853.41
TOTAIS,4655,3227,11996526.0,1400698.0,17460.0,0.0,,,,,17460.0,0.0,11979066.0,1400698.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12175947.240000002
