Segmento,Year,LDCurve,Hour,Meter,kWh,kvarh,Max kW,Max kVA,Zone kWh,Zone kvarh,Zone Max kW,Zone Max kVA,Overload kWh Normal,Overload kWh Emerg,Load EEN,Load UE,Zone Losses kWh,Zone Losses kvarh,Zone Max kW Losses,Zone Max kvar Losses,Load Losses kWh,Load Losses kvarh,No Load Losses kWh,No Load Losses kvarh,Max kW Load Losses,Max kW No Load Losses,Line Losses,Transformer Losses,Line Mode Line Losses,Zero Mode Line Losses,3-phase Line Losses,1- and 2-phase Line Losses,Gen kWh,Gen kvarh,Gen Max kW,Gen Max kVA,13.8 kV Losses,Aux1,Aux6,Aux11,Aux16,Aux21,Aux26,13.8 kV Line Loss,Aux2,Aux7,Aux12,Aux17,Aux22,Aux27,13.8 kV Load Loss,Aux3,Aux8,Aux13,Aux18,Aux23,Aux28,13.8 kV No Load Loss,Aux4,Aux9,Aux14,Aux19,Aux24,Aux29,13.8 kV Load Energy,Aux5,Aux10,Aux15,Aux20,Aux25,Aux30
S00010_FORA_PONTA,0, ,209.0," ""GERAL""       ",26781.0,4911.0,1911.0,1938.0,40442.0,4999.0,3166.0,3180.0,0.0,0.0,1372.0,1191.0,2335.0,6105.0,129.0,355.0,241.0,66.0,2095.0,6039.0,28.0,100.0,50.0,2285.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2335.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,2095.0,0.0,0.0,0.0,0.0,0.0,0.0,40442.0,0.0,0.0,0.0,0.0,0.0,0.0
S00011_PONTA,0, ,212.0," ""GERAL""       ",4220.0,464.0,1543.0,1549.0,4480.0,564.0,1711.0,1723.0,0.0,0.0,196.0,170.0,311.0,785.0,107.0,274.0,12.0,-77.0,299.0,862.0,6.0,100.0,5.0,306.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,4480.0,0.0,0.0,0.0,0.0,0.0,0.0
S00012_FORA_PONTA,0, ,233.0," ""GERAL""       ",29228.0,5774.0,1973.0,2004.0,41743.0,5894.0,3124.0,3156.0,0.0,0.0,1372.0,1190.0,2316.0,6060.0,128.0,358.0,227.0,36.0,2090.0,6025.0,29.0,100.0,46.0,2270.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,41743.0,0.0,0.0,0.0,0.0,0.0,0.0
S00013_PONTA,0, ,236.0," ""GERAL""       ",4898.0,801.0,1778.0,1799.0,5012.0,891.0,1993.0,2023.0,0.0,0.0,196.0,170.0,313.0,790.0,106.0,273.0,15.0,-68.0,298.0,858.0,7.0,100.0,7.0,306.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,5012.0,0.0,0.0,0.0,0.0,0.0,0.0
S00014_FORA_PONTA,0, ,305.0," ""GERAL""       ",75102.0,15016.0,1828.0,1855.0,112407.0,15812.0,3054.0,3072.0,0.0,0.0,4513.0,3914.0,7558.0,19598.0,134.0,373.0,660.0,-290.0,6898.0,19888.0,33.0,101.0,144.0,7414.0,144.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,7558.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,6898.0,0.0,0.0,0.0,0.0,0.0,0.0,112407.0,0.0,0.0,0.0,0.0,0.0,0.0
S00015_PONTA,0, ,308.0," ""GERAL""       ",4268.0,483.0,1566.0,1573.0,4566.0,582.0,1767.0,1778.0,0.0,0.0,196.0,170.0,311.0,786.0,107.0,275.0,12.0,-77.0,299.0,862.0,7.0,100.0,5.0,306.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.0,0.0,0.0,0.0,0.0,0.0,0.0
S00016_FORA_PONTA,0, ,329.0," ""GERAL""       ",30250.0,5026.0,2200.0,2221.0,42424.0,5141.0,3332.0,3346.0,0.0,0.0,1372.0,1190.0,2328.0,6068.0,132.0,369.0,238.0,41.0,2090.0,6027.0,32.0,100.0,55.0,2274.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,2328.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,42424.0,0.0,0.0,0.0,0.0,0.0,0.0
S00017_PONTA,0, ,332.0," ""GERAL""       ",4683.0,555.0,1605.0,1613.0,4673.0,658.0,1821.0,1837.0,0.0,0.0,196.0,170.0,310.0,780.0,104.0,264.0,11.0,-80.0,299.0,860.0,5.0,100.0,5.0,305.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,4673.0,0.0,0.0,0.0,0.0,0.0,0.0
S00018_FORA_PONTA,0, ,353.0," ""GERAL""       ",33315.0,4972.0,2566.0,2579.0,43531.0,5201.0,3372.0,3387.0,0.0,0.0,1371.0,1190.0,2298.0,5946.0,126.0,347.0,211.0,-71.0,2087.0,6017.0,27.0,100.0,55.0,2243.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,2087.0,0.0,0.0,0.0,0.0,0.0,0.0,43531.0,0.0,0.0,0.0,0.0,0.0,0.0
S00019_PONTA,0, ,356.0," ""GERAL""       ",4662.0,502.0,1699.0,1707.0,4815.0,601.0,1851.0,1866.0,0.0,0.0,196.0,170.0,311.0,784.0,106.0,271.0,12.0,-77.0,299.0,861.0,6.0,100.0,5.0,306.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,4815.0,0.0,0.0,0.0,0.0,0.0,0.0
