Descricao,Valor
kWh fornecido (EnergyMeter kWh),12778360.0
kWh da carga (Zone kWh),15654508.0
Zone losses (Zone Losses kWh),944314.0
Perdas na linha MT (Line Losses kWh),21749.0
Perdas nos trafos (Transformer Losses kWh),922561.0
Perdas em vazio ferro (No Load Losses kWh),873094.0
Perdas em carga cobre (Transformer - NoLoad) kWh,49467.0
