Mes,Posto,N_pontos_SIM33,Consumo_P_SIM33_kWh,Injecao_P_SIM33_kWh,Consumo_Q_SIM33_kVArh,DemandaMax_P_SIM33_kW,DemandaMax_Inj_SIM33_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,904095.8827713,18420.29412575,162877.155725,3358.42,852.343,2712
JANEIRO,PONTA,264,102093.74225,0.0,12676.831275,2072.251,0.0,264
FEVEREIRO,FORA_PONTA,2448,1042031.3166915,9230.735543750001,167129.7805225,4194.92,755.92,2448
FEVEREIRO,PONTA,240,109644.75725,0.0,13422.858425,2347.212,0.0,240
MARCO,FORA_PONTA,2736,1119753.2771425,12178.61495335,167721.4123,4690.62,837.683,2736
MARCO,PONTA,240,127337.9595,0.0,12685.564375,2817.9480000000003,0.0,240
ABRIL,FORA_PONTA,2640,835424.4228825,23146.794455,104942.494075,3144.94,990.674,2640
ABRIL,PONTA,240,111644.01425,0.0,8069.3413,2224.94,0.0,240
MAIO,FORA_PONTA,2724,953023.3179295,16875.176265,90210.372175,3362.26,766.635,2724
MAIO,PONTA,252,122596.6005,0.0,7497.042925,2652.107,0.0,252
JUNHO,FORA_PONTA,2640,1137378.1831975,3126.725685,77047.3524225,4329.8,588.444,2640
JUNHO,PONTA,240,132693.91775,0.0,6267.9524,2799.7870000000003,0.0,240
JULHO,FORA_PONTA,2700,1079812.26389725,5022.8251825,67124.58855,4171.6900000000005,808.5559999999999,2700
JULHO,PONTA,276,135039.56375,0.0,5999.079755,3353.5,0.0,276
AGOSTO,FORA_PONTA,2724,979693.6217675,16576.079145,73532.925525,3225.55,840.433,2724
AGOSTO,PONTA,252,125886.6665,0.0,7056.44831375,2511.532,0.0,252
SETEMBRO,FORA_PONTA,2616,845281.6446725,8942.777165,83728.499625,2793.374,795.104,2616
SETEMBRO,PONTA,264,123376.23225,0.0,8078.727175,2203.786,0.0,264
OUTUBRO,FORA_PONTA,2700,822557.2006725,12492.4679,103848.40585,3162.05,985.666,2700
OUTUBRO,PONTA,276,125469.7345,0.0,10071.143525,2340.7830000000004,0.0,276
NOVEMBRO,FORA_PONTA,2652,869272.567798,17727.18425835,124889.907125,4423.42,1057.384,2652
NOVEMBRO,PONTA,228,113739.27125,0.0,10680.01575,2908.063,0.0,228
DEZEMBRO,FORA_PONTA,2712,916098.74005125,15691.613117500001,139166.38765,4108.6900000000005,837.079,2712
DEZEMBRO,PONTA,264,114036.5105,0.0,13504.649,2632.452,0.0,264
