Mes,Posto,N_pontos_SIM24,Consumo_P_SIM24_kWh,Consumo_Q_SIM24_kVArh,DemandaMax_P_SIM24_kW,DemandaMax_Q_SIM24_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1591506.29775,188070.30135,5034.27,679.322,2712
JANEIRO,PONTA,264,-3.0292643749999986,18976.633625,0.213025,534.173,264
FEVEREIRO,FORA_PONTA,2448,1648162.856,193964.072225,5044.73,716.866,2448
FEVEREIRO,PONTA,240,-3.327866924999999,20134.638,0.21722,587.223,240
MARCO,FORA_PONTA,2736,1773310.814,196307.0654,5044.889999999999,645.877,2736
MARCO,PONTA,240,-3.214836199999999,20349.670775,0.269368,503.883,240
ABRIL,FORA_PONTA,2640,1357657.35025,130576.99372500001,3921.62,391.654,2640
ABRIL,PONTA,240,-1.8970286499999993,14175.088575,0.2152079999999999,417.076,240
MAIO,FORA_PONTA,2724,1418386.71675,119063.1885,3923.32,438.587,2724
MAIO,PONTA,252,-2.9132454249999986,14179.363875000001,0.2338119999999999,314.563,252
JUNHO,FORA_PONTA,2640,1594346.316475,105357.0348825,4907.21,318.636,2640
JUNHO,PONTA,240,-2.2968685749999986,13608.702275,0.287344,304.072,240
JULHO,FORA_PONTA,2700,1597508.41225,95358.720425,5034.27,304.232,2700
JULHO,PONTA,276,86.4809034,13343.331825,156.76590000000002,394.495,276
AGOSTO,FORA_PONTA,2724,1490277.7885,100285.5608,3923.69,291.2273,2724
AGOSTO,PONTA,252,-1.0427712499999997,13925.902,0.2030319999999999,336.751,252
SETEMBRO,FORA_PONTA,2616,1393130.45,108412.242325,3922.54,358.357,2616
SETEMBRO,PONTA,264,-1.4411325249999996,14804.31375,0.210732,318.99800000000005,264
OUTUBRO,FORA_PONTA,2700,1438800.00265,128681.758085,4375.49,483.235,2700
OUTUBRO,PONTA,276,-2.034370349999999,17147.9075,0.202727,422.169,276
NOVEMBRO,FORA_PONTA,2652,1531455.3485,147973.15525,5044.32,601.0310000000001,2652
NOVEMBRO,PONTA,228,16.55727135,17454.638975,77.6184,596.812,228
DEZEMBRO,FORA_PONTA,2712,1552880.279,165426.080325,5044.38,637.7280000000001,2712
DEZEMBRO,PONTA,264,-3.0664927999999994,20490.057925,0.246896,617.8919999999999,264
