MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4995.0,463.0,1559208.0,2421,0.0,0.0,0.0,847.0,164035.8,38586.42,0.0,58586.99,0.0,0.0,233881.2,363.15,576906.96,1428.39,1073788.91
FEV,5044.0,804.0,1612815.0,9271,0.0,0.0,0.0,506.0,165644.96,67005.36,0.0,35000.02,0.0,0.0,241922.25,1390.65,596741.55,5469.89,1113174.68
MAR,5043.0,1163.0,1723501.0,22053,0.0,0.0,0.0,147.0,165612.12,96924.42,0.0,10167.99,0.0,0.0,258525.15,3307.95,637695.37,13011.27,1185244.27
ABR,3909.0,369.0,1326805.0,3636,0.0,0.0,1086.0,941.0,128371.56,30752.46,29604.36,65088.97,0.0,0.0,199020.75,545.4,490917.85,2145.24,946446.59
MAI,3916.0,817.0,1385276.0,7962,0.0,0.0,1079.0,493.0,128601.44,68088.78,29413.54,34100.81,0.0,0.0,207791.4,1194.3,512552.12,4697.58,986439.97
JUN,4884.0,973.0,1543496.0,23310,0.0,0.0,111.0,337.0,160390.56,81089.82,3025.86,23310.29,0.0,0.0,231524.4,3496.5,571093.52,13752.9,1087683.85
JUL,5017.0,1555.0,1547598.0,14877,0.0,245.0,0.0,0.0,164758.28,129593.7,0.0,0.0,0.0,40836.6,232139.7,2231.55,572611.26,8777.43,1150948.52
AGO,3923.0,670.0,1449381.0,11879,0.0,0.0,1072.0,640.0,128831.32,55837.8,29222.72,44268.8,0.0,0.0,217407.15,1781.85,536270.97,7008.61,1020629.22
SET,3917.0,346.0,1364240.0,3398,0.0,0.0,1078.0,964.0,128634.28,28835.64,29386.28,66679.88,0.0,0.0,204636.0,509.7,504768.8,2004.82,965455.4
OUT,4352.0,588.0,1402942.0,5250,0.0,0.0,643.0,722.0,142919.68,49003.92,17528.18,49940.74,0.0,0.0,210441.3,787.5,519088.54,3097.5,992807.36
NOV,5045.0,1472.0,1486948.0,15304,0.0,162.0,0.0,0.0,165677.8,122676.48,0.0,0.0,0.0,27002.16,223042.2,2295.6,550170.76,9029.36,1099894.36
DEZ,5042.0,1280.0,1510794.0,12038,0.0,0.0,0.0,30.0,165579.28,106675.2,0.0,2075.1,0.0,0.0,226619.1,1805.7,558993.78,7102.42,1068850.58
TOTAIS,5045.0,1555.0,17913004.0,131399,0.0,245.0,1086.0,964.0,1809057.08,875070.0,138180.94,389219.58999999997,0.0,67838.76,2686950.6,19709.850000000002,6627811.4799999995,77525.41,12691363.709999999
CTOTAL,,,18044403.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,12691363.709999999
DCFP,4995.0,,,,,,,,,,,,,,,,,,
DCP,,1310.0,,,,,,,,,,,,,,,,,
