MES,R$SIM2,R$SIM8,Economia_R$,Economia_%
JAN,1128292.66,1064383.55,63909.11,5.664
FEV,1195764.83,1132164.35,63600.48,5.319
MAR,1273832.45,1210683.3,63149.15,4.957
ABR,1015371.32,950841.51,64529.81,6.355
MAI,1051258.3,987050.03,64208.27,6.108
JUN,1144916.86,1080062.95,64853.91,5.665
JUL,1189511.26,1130573.14,58938.12,4.955
AGO,1082950.95,1018736.1,64214.85,5.93
SET,1031786.29,966648.19,65138.1,6.313
OUT,1058766.29,993941.06,64825.23,6.123
NOV,1163254.84,1122978.48,40276.36,3.462
DEZ,1154141.31,1090379.4,63761.91,5.525
TOTAIS,13489847.359999998,12748442.06,741405.2999999999,5.496024381998642
