Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM8,Consumo_P_SIM8_kWh,Consumo_Q_SIM8_kVArh,DemandaMax_P_SIM8_kW,DemandaMax_Q_SIM8_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1325239.47225,125314.70915,4613.709999999999,545.446,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,55390.2375,12697.739450000001,1414.913,381.275,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1371806.18,133935.5602225,5306.85,562.588,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,64582.334,13351.989775,1722.619,418.63,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1468514.19725,130933.72755,5437.71,493.512,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,79106.099,12640.43125,2046.081,304.466,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1115788.9865,74770.895767675,3501.1000000000004,290.6754,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,59137.379,8338.58555,1330.821,281.6548,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1163347.9875,62965.35213225,3465.13,333.023,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,67182.79025,7826.57095,1735.4009999999998,206.6472,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1311557.139625,51559.8684115,4389.11,222.4219,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,79081.14025,6615.79885,1875.25,163.8502,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1307977.479,41432.8786495775,4620.53,209.4985,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,74307.60775,6469.083725,2400.099,191.9508,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1223237.3325,45989.763459225,3468.34,199.845,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,70441.68355325,7394.6452725,1602.25,231.9878,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1140655.488,55051.92824915,3105.38,260.0174,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,66392.91175,8404.583425,1310.589,203.5259,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1175644.342025,71816.3431425,3909.92,371.672,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,68463.1155,10310.8741,1527.648,292.1257,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1262985.28475,89478.7453875,5376.54,456.655,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,67950.808,10749.526975,2325.1800000000003,370.773,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1285454.654,104569.14507500001,5285.58,493.217,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,63376.15125,13523.520975,2151.638,399.73800000000006,264
