Mes,Posto,N_pontos_SIM11,Consumo_P_SIM11_kWh,Consumo_Q_SIM11_kVArh,DemandaMax_P_SIM11_kW,DemandaMax_Q_SIM11_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1444674.96725,153459.9275,4707.9,584.594,2712
JANEIRO,PONTA,264,-2.3696741749999988,16526.448275,0.179947,491.265,264
FEVEREIRO,FORA_PONTA,2448,1496769.691,160579.331915,5411.43,601.8,2448
FEVEREIRO,PONTA,240,172.10254175,17990.5033,208.4799,539.8230000000001,240
MARCO,FORA_PONTA,2736,1609525.196,160593.40045,5544.09,531.768,2736
MARCO,PONTA,240,1546.078470825,18426.86405,536.085,423.614,240
ABRIL,FORA_PONTA,2640,1230037.4915,101477.069115,4222.43,338.102,2640
ABRIL,PONTA,240,-1.3336847249999997,12422.9028,0.176147,381.763,240
MAIO,FORA_PONTA,2724,1286714.06575,90665.5777075,4377.05,368.426,2724
MAIO,PONTA,252,323.992881,12508.77305,220.3352,282.1133,252
JUNHO,FORA_PONTA,2640,1450198.77345,79355.617615,4732.16,317.954,2640
JUNHO,PONTA,240,2257.3783299,12254.05065,362.21,280.774,240
JULHO,FORA_PONTA,2700,1441834.79325,69212.067255,5110.1900000000005,303.051,2700
JULHO,PONTA,276,3627.642052225,11423.662125,893.96,308.326,276
AGOSTO,FORA_PONTA,2724,1352618.46825,73787.5154825,4687.43,327.068,2724
AGOSTO,PONTA,252,145.57690117500002,12390.327865,85.5137,308.296,252
SETEMBRO,FORA_PONTA,2616,1266082.08325,82011.8238225,4419.17,327.401,2616
SETEMBRO,PONTA,264,-0.7121551999999998,12975.807625,0.1881879999999999,291.0774,264
OUTUBRO,FORA_PONTA,2700,1301439.51315,99627.9544,4336.91,407.895,2700
OUTUBRO,PONTA,276,1.066871200000001,15075.727575,10.09428,383.92,276
NOVEMBRO,FORA_PONTA,2652,1387543.4595,117025.728025,5482.29,494.474,2652
NOVEMBRO,PONTA,228,2139.8752642,15545.40055,818.8879999999999,490.564,228
DEZEMBRO,FORA_PONTA,2712,1408174.1245,132660.236825,5389.65,531.382,2712
DEZEMBRO,PONTA,264,1525.4171196,18013.496175,642.928,520.1110000000001,264
