Descricao,Valor
kWh fornecido (EnergyMeter kWh),18049177.0
kWh da carga (Zone kWh),16530598.0
Zone losses (Zone Losses kWh),959921.0
Perdas na linha MT (Line Losses kWh),33701.0
Perdas nos trafos (Transformer Losses kWh),926218.0
Perdas em vazio ferro (No Load Losses kWh),866656.0
Perdas em carga cobre (Transformer - NoLoad) kWh,59562.0
