Mes,Posto,N_pontos_SIM22,Consumo_P_SIM22_kWh,Consumo_Q_SIM22_kVArh,DemandaMax_P_SIM22_kW,DemandaMax_Q_SIM22_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1560507.29775,169702.6994,5027.78,650.649,2712
JANEIRO,PONTA,264,2155.3348704,18532.149525,443.125,509.783,264
FEVEREIRO,FORA_PONTA,2448,1612878.20625,177454.497095,5044.61,686.769,2448
FEVEREIRO,PONTA,240,8557.812080575,19599.241925,784.604,551.076,240
MARCO,FORA_PONTA,2736,1723932.24825,177195.160475,5044.26,616.906,2736
MARCO,PONTA,240,20998.06620975,19120.735275,1143.34,424.443,240
ABRIL,FORA_PONTA,2640,1328186.5435,112631.086975,3909.07,362.811,2640
ABRIL,PONTA,240,3078.21033705,13968.61615,349.557,398.451,240
MAIO,FORA_PONTA,2724,1386433.64625,100591.232725,3915.73,409.90600000000006,2724
MAIO,PONTA,252,7169.522755725,13785.9344,798.135,315.17,252
JUNHO,FORA_PONTA,2640,1544965.087825,86844.1455125,4884.02,290.22130000000004,2640
JUNHO,PONTA,240,22336.186306675,12311.058625,953.334,267.6522,240
JULHO,FORA_PONTA,2700,1549424.606,76636.834835,5044.400000000001,275.8312,2700
JULHO,PONTA,276,14284.58527495,12301.183825,1535.484,299.5906,276
AGOSTO,FORA_PONTA,2724,1451291.59475,81641.99635,3923.32,274.3555,2724
AGOSTO,PONTA,252,10967.02417575,13312.63385,650.461,328.821,252
SETEMBRO,FORA_PONTA,2616,1364924.819,90978.432925,3917.36,329.377,2616
SETEMBRO,PONTA,264,2763.2263605,14682.600025,327.101,311.947,264
OUTUBRO,FORA_PONTA,2700,1404256.92585,110425.865725,4351.68,454.451,2700
OUTUBRO,PONTA,276,4605.895530125,16832.81065,568.107,410.065,276
NOVEMBRO,FORA_PONTA,2652,1487902.12,129418.687825,5043.84,570.649,2652
NOVEMBRO,PONTA,228,14497.729104225,16551.77105,1452.859,498.223,228
DEZEMBRO,FORA_PONTA,2712,1512088.354,146568.84265,5042.25,608.912,2712
DEZEMBRO,PONTA,264,11474.2702653,19475.4178,1260.266,529.982,264
