MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4653,0,1440322,-2,0.0,0.0,347.0,0.0,152804.52,0.0,9459.22,0.0,0.0,0.0,216048.3,-0.3,532919.14,-1.18,911229.7
FEV,5036,0,1488187,-3,0.0,0.0,0.0,0.0,165382.24,0.0,0.0,0.0,0.0,0.0,223228.05,-0.45,550629.19,-1.77,939237.26
MAR,5044,0,1604453,-3,0.0,0.0,0.0,0.0,165644.96,0.0,0.0,0.0,0.0,0.0,240667.95,-0.45,593647.61,-1.77,999958.3
ABR,4033,0,1229029,-1,0.0,0.0,967.0,0.0,132443.72,0.0,26360.42,0.0,0.0,0.0,184354.35,-0.15,454740.73,-0.59,797898.48
MAI,4038,0,1285221,-3,0.0,0.0,962.0,0.0,132607.92,0.0,26224.12,0.0,0.0,0.0,192783.15,-0.45,475531.77,-1.77,827144.74
JUN,4427,0,1444425,-2,0.0,0.0,573.0,0.0,145382.68,0.0,15619.98,0.0,0.0,0.0,216663.75,-0.3,534437.25,-1.18,912102.18
JUL,4659,71,1443335,18,0.0,71.0,341.0,0.0,153001.56,5917.14,9295.66,0.0,0.0,11834.28,216500.25,2.7,534033.95,10.62,930596.16
AGO,4039,0,1350085,-1,0.0,0.0,961.0,0.0,132640.76,0.0,26196.86,0.0,0.0,0.0,202512.75,-0.15,499531.45,-0.59,860881.08
SET,4037,0,1263853,-1,0.0,0.0,963.0,0.0,132575.08,0.0,26251.38,0.0,0.0,0.0,189577.95,-0.15,467625.61,-0.59,816029.28
OUT,4038,0,1300578,-2,0.0,0.0,962.0,0.0,132607.92,0.0,26224.12,0.0,0.0,0.0,195086.7,-0.3,481213.86,-1.18,835131.12
NOV,5027,0,1383825,-3,0.0,0.0,0.0,0.0,165086.68,0.0,0.0,0.0,0.0,0.0,207573.75,-0.45,512015.25,-1.77,884673.46
DEZ,5010,0,1403921,-3,0.0,0.0,0.0,0.0,164528.4,0.0,0.0,0.0,0.0,0.0,210588.15,-0.45,519450.77,-1.77,894565.1
TOTAIS,5044,71,16637234,-6,,,,,,,,,,,,,,,10609446.860000001
