MES,R$SIM2,R$SIM18,Economia_R$,Economia_%
JAN,1128292.66,911229.7,217062.96,19.238
FEV,1195764.83,939237.26,256527.57,21.453
MAR,1273832.45,999958.3,273874.15,21.5
ABR,1015371.32,797898.48,217472.84,21.418
MAI,1051258.3,827144.74,224113.56,21.319
JUN,1144916.86,912102.18,232814.68,20.335
JUL,1189511.26,930596.16,258915.1,21.767
AGO,1082950.95,860881.08,222069.87,20.506
SET,1031786.29,816029.28,215757.01,20.911
OUT,1058766.29,835131.12,223635.17,21.122
NOV,1163254.84,884673.46,278581.38,23.948
DEZ,1154141.31,894565.1,259576.21,22.491
TOTAIS,13489847.359999998,10609446.860000001,2880400.5,21.352357985465005
