MES,R$SIM2,R$SIM9,Economia_R$,Economia_%
JAN,1128292.66,1064412.65,63880.01,5.662
FEV,1195764.83,1132174.98,63589.85,5.318
MAR,1273832.45,1210689.27,63143.18,4.957
ABR,1015371.32,950850.42,64520.9,6.354
MAI,1051258.3,987073.19,64185.11,6.106
JUN,1144916.86,1080084.11,64832.75,5.663
JUL,1189511.26,1130349.7,59161.56,4.974
AGO,1082950.95,1018760.82,64190.13,5.927
SET,1031786.29,966658.74,65127.55,6.312
OUT,1058766.29,993952.95,64813.34,6.122
NOV,1163254.84,1122748.88,40505.96,3.482
DEZ,1154141.31,1090390.99,63750.32,5.524
TOTAIS,13489847.359999998,12748146.700000001,741700.6599999999,5.498213880457133
