MES,R$SIM2,R$SIM14,Economia_R$,Economia_%
JAN,1128292.66,929030.18,199262.48,17.661
FEV,1195764.83,985957.18,209807.65,17.546
MAR,1273832.45,1060899.06,212933.39,16.716
ABR,1015371.32,815803.74,199567.58,19.655
MAI,1051258.3,847137.76,204120.54,19.417
JUN,1144916.86,930120.24,214796.62,18.761
JUL,1189511.26,929663.32,259847.94,21.845
AGO,1082950.95,880076.18,202874.77,18.734
SET,1031786.29,834027.52,197758.77,19.167
OUT,1058766.29,855977.46,202788.83,19.153
NOV,1163254.84,939320.62,223934.22,19.251
DEZ,1154141.31,941903.22,212238.09,18.389
TOTAIS,13489847.359999998,10949916.48,2539930.88,18.82846271138238
