14/02/2026  16:01           819.159 sm003_PQ_225QUIMICA_2025_225kVA.csv
14/02/2026  16:01         1.038.380 sm004_PQ_1125POLI1_2025_112.5kVA.csv
14/02/2026  16:01           905.507 sm007_PQ_225CCSHB_2025_225kVA.csv
14/02/2026  16:01           881.529 sm010_PQ_225CCSHC2_2025_225kVA.csv
14/02/2026  16:01           831.589 sm011_PQ_1125CE2_2025_112.5kVA.csv
14/02/2026  16:01           824.380 sm012_PQ_150DENDROL_2025_150kVA.csv
14/02/2026  16:01           994.886 sm014_PQ_225LSOLOS_2025_225kVA.csv
14/02/2026  16:01         1.034.925 sm016_PQ_150ENGQUIM_2025_150kVA.csv
14/02/2026  16:01           846.805 sm019_PQ_150INRI_2025_150kVA.csv
14/02/2026  16:01           795.139 sm021_PQ_300CCR2_2025_300kVA.csv
14/02/2026  16:01           863.540 sm022_PQ_225CTC_2025_225kVA.csv
14/02/2026  16:01         1.236.664 sm023_PQ_225CCNE_2025_225kVA.csv
14/02/2026  16:01           865.320 sm024_PQ_300CAL_2025_300kVA.csv
14/02/2026  16:01           854.963 sm025_PQ_750INPE_2025_750kVA.csv
14/02/2026  16:01           768.037 sm027_PQ_225CTISM2_2025_225kVA.csv
14/02/2026  16:01           822.012 sm029_PQ_300CEU2C_2025_300kVA.csv
14/02/2026  16:01           814.982 sm032_PQ_225CPD_2025_225kVA.csv
14/02/2026  16:01           952.554 sm033_PQ_1125P21_2025_112.5kVA.csv
14/02/2026  16:01           884.507 sm035_PQ_225FONO_2025_225kVA.csv
14/02/2026  16:01         1.485.813 sm036_PQ_225RU2_2025_225kVA.csv
14/02/2026  16:01         1.149.068 sm037_PQ_225CCSHC1_2025_225kVA.csv
14/02/2026  16:01           833.329 sm039_PQ_300CEU2D_2025_300kVA.csv
14/02/2026  16:01           827.420 sm040_PQ_300CEU2B_2025_300kVA.csv
14/02/2026  16:02           903.433 sm041_PQ_225HIDR_2025_225kVA.csv
14/02/2026  16:02           983.594 sm042_PQ_225CCSHA_2025_225kVA.csv
14/02/2026  16:02           792.112 sm043_PQ_225PISCINAS_2025_225kVA.csv
14/02/2026  16:02           878.720 sm045_PQ_300CTEC_2025_300kVA.csv
14/02/2026  16:02           808.524 sm046_PQ_225CEFD_2025_225kVA.csv
14/02/2026  16:02           975.107 sm050_PQ_500CONV1_2025_500kVA.csv
14/02/2026  16:02           869.395 sm051_PQ_500P18_2025_500kVA.csv
14/02/2026  16:02           859.812 sm053_PQ_225CE1_2025_225kVA.csv
14/02/2026  16:02         1.033.339 sm054_PQ_500CONV2_2025_500kVA.csv
14/02/2026  16:02           945.635 sm055_PQ_500REITORIA_2025_500kVA.csv
14/02/2026  16:02           911.832 sm056_PQ_500P19_2025_500kVA.csv
14/02/2026  16:02           906.564 sm057_PQ_500BIBC_2025_500kVA.csv
14/02/2026  16:02         1.173.615 sm058_PQ_500ODONTO_2025_500kVA.csv
14/02/2026  16:02           842.956 sm059_PQ_500CCR1_2025_500kVA.csv
14/02/2026  16:02           876.131 sm060_PQ_500GRAFICA_2025_500kVA.csv
14/02/2026  16:02           777.461 sm136_PQ_750RU_2025_750kVA.csv
