Descricao,Valor
kWh fornecido (EnergyMeter kWh),17252628.0
kWh da carga (Zone kWh),15130807.0
Zone losses (Zone Losses kWh),1021926.0
Perdas na linha MT (Line Losses kWh),37713.0
Perdas nos trafos (Transformer Losses kWh),984213.0
Perdas em vazio ferro (No Load Losses kWh),941291.0
Perdas em carga cobre (Transformer - NoLoad) kWh,42922.0
