Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
7880.500000,0.984432,0.985195,0.984458,0.983719,0.983517,0.983419,0.985922,0.980535,0.978838,0.979256,0.979333,0.979798,0.978476,0.978611,0.982252,0.978570,0.979335
7880.750000,0.983680,0.984511,0.983733,0.982917,0.982702,0.982600,0.985268,0.979782,0.977861,0.978415,0.978502,0.979061,0.977585,0.977735,0.981493,0.977685,0.978483
7881.000000,0.982422,0.983341,0.982522,0.981599,0.981366,0.981255,0.984137,0.978338,0.976432,0.976876,0.977115,0.977645,0.976094,0.976264,0.979958,0.976217,0.977130
7881.250000,0.982310,0.983127,0.982268,0.981490,0.981253,0.981139,0.983957,0.978238,0.976341,0.976783,0.976703,0.977370,0.975595,0.975792,0.979688,0.975733,0.976821
7881.500000,0.981720,0.982566,0.981686,0.980863,0.980609,0.980491,0.983422,0.977511,0.975692,0.975997,0.976039,0.976650,0.974876,0.975083,0.979121,0.975041,0.976171
7881.750000,0.981264,0.982118,0.981203,0.980393,0.980134,0.980011,0.983001,0.977064,0.975029,0.975520,0.975412,0.976129,0.974155,0.974388,0.978612,0.974347,0.975568
7882.000000,0.980573,0.981414,0.980462,0.979683,0.979410,0.979277,0.982333,0.976111,0.974342,0.974529,0.974555,0.975255,0.973232,0.973479,0.977832,0.973427,0.974780
7882.250000,0.980479,0.981306,0.980340,0.979602,0.979334,0.979202,0.982238,0.976115,0.974174,0.974552,0.974377,0.975039,0.973017,0.973273,0.977701,0.973226,0.974586
7882.500000,0.979899,0.980626,0.979653,0.979044,0.978787,0.978662,0.981616,0.975686,0.973827,0.974170,0.973789,0.974344,0.972503,0.972739,0.976997,0.972691,0.974026
7882.750000,0.979119,0.979917,0.978907,0.978229,0.977967,0.977836,0.980932,0.974826,0.972906,0.973261,0.972894,0.973471,0.971523,0.971779,0.976215,0.971732,0.973139
7883.000000,0.979405,0.980247,0.979239,0.978515,0.978251,0.978118,0.981241,0.975065,0.973056,0.973488,0.973221,0.973908,0.971835,0.972089,0.977029,0.972030,0.973423
