MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4747.0,0.0,1499995.0,-1,0.0,0.0,328.0,0.0,155891.48,0.0,8941.28,0.0,0.0,0.0,224999.25,-0.15,554998.15,-0.59,944829.42
FEV,5112.0,0.0,1538878.0,-1,0.0,0.0,0.0,0.0,167878.08,0.0,0.0,0.0,0.0,0.0,230831.7,-0.15,569384.86,-0.59,968093.9
MAR,5120.0,0.0,1659687.0,-1,0.0,0.0,0.0,0.0,168140.8,0.0,0.0,0.0,0.0,0.0,248953.05,-0.15,614084.19,-0.59,1031177.3
ABR,4099.0,0.0,1276866.0,-1,0.0,0.0,976.0,0.0,134611.16,0.0,26605.76,0.0,0.0,0.0,191529.9,-0.15,472440.42,-0.59,825186.5
MAI,4099.0,0.0,1336097.0,-2,0.0,0.0,976.0,0.0,134611.16,0.0,26605.76,0.0,0.0,0.0,200414.55,-0.3,494355.89,-1.18,855985.88
JUN,4517.0,0.0,1494275.0,-2,0.0,0.0,558.0,0.0,148338.28,0.0,15211.08,0.0,0.0,0.0,224141.25,-0.3,552881.75,-1.18,940570.88
JUL,4752.0,0.0,1498132.0,-2,0.0,0.0,323.0,0.0,156055.68,0.0,8804.98,0.0,0.0,0.0,224719.8,-0.3,554308.84,-1.18,943887.82
AGO,4100.0,0.0,1399607.0,-1,0.0,0.0,975.0,0.0,134644.0,0.0,26578.5,0.0,0.0,0.0,209941.05,-0.15,517854.59,-0.59,889017.4
SET,4100.0,0.0,1311859.0,-2,0.0,0.0,975.0,0.0,134644.0,0.0,26578.5,0.0,0.0,0.0,196778.85,-0.3,485387.83,-1.18,843387.7
OUT,4098.0,0.0,1350904.0,-1,0.0,0.0,977.0,0.0,134578.32,0.0,26633.02,0.0,0.0,0.0,202635.6,-0.15,499834.48,-0.59,863680.68
NOV,5124.0,0.0,1433457.0,-1,0.0,0.0,0.0,0.0,168272.16,0.0,0.0,0.0,0.0,0.0,215018.55,-0.15,530379.09,-0.59,913669.06
DEZ,5085.0,0.0,1453583.0,-1,0.0,0.0,0.0,0.0,166991.4,0.0,0.0,0.0,0.0,0.0,218037.45,-0.15,537825.71,-0.59,922853.82
TOTAIS,5124.0,0.0,17253340.0,-16,0.0,0.0,977.0,0.0,1804656.52,0.0,165958.87999999998,0.0,0.0,0.0,2588001.0,-2.4,6383735.8,-9.44,10942340.360000001
CTOTAL,,,17253324.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,10942340.360000001
DCFP,5075.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
