Mes,Posto,N_pontos_SIM20,Consumo_P_SIM20_kWh,Consumo_Q_SIM20_kVArh,DemandaMax_P_SIM20_kW,DemandaMax_Q_SIM20_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1499995.269,180972.20415,4746.89,627.635,2712
JANEIRO,PONTA,264,-1.199263224999999,17687.026825,0.1760939999999999,485.734,264
FEVEREIRO,FORA_PONTA,2448,1538877.90075,184419.5156675,5111.61,644.615,2448
FEVEREIRO,PONTA,240,-0.9423191749999995,18547.6506,0.1878869999999999,532.068,240
MARCO,FORA_PONTA,2736,1659686.62075,187469.39250000002,5119.56,573.97,2736
MARCO,PONTA,240,-0.6256558249999998,18557.518175,0.281391,448.335,240
ABRIL,FORA_PONTA,2640,1276865.6055,128124.55435,4098.71,368.947,2640
ABRIL,PONTA,240,-1.4143330499999995,13175.976850000001,0.156785,380.466,240
MAIO,FORA_PONTA,2724,1336096.94225,117968.054975,4098.62,411.624,2724
MAIO,PONTA,252,-2.1427374499999994,13121.35765,0.20331,290.703,252
JUNHO,FORA_PONTA,2640,1494274.90445,104873.556096675,4517.36,299.1861,2640
JUNHO,PONTA,240,-2.198264199999999,12373.073375,0.215045,273.61069999999995,240
JULHO,FORA_PONTA,2700,1498131.51375,95957.319125,4752.26,286.0398,2700
JULHO,PONTA,276,-2.0303747499999996,12333.902125,0.300501,343.137,276
AGOSTO,FORA_PONTA,2724,1399607.337,100698.9359,4100.48,287.1946,2724
AGOSTO,PONTA,252,-1.0260750249999995,12840.405475,0.226952,307.754,252
SETEMBRO,FORA_PONTA,2616,1311859.1305,107886.5677,4099.82,338.125,2616
SETEMBRO,PONTA,264,-1.6906484499999994,13754.2824,0.1973649999999999,290.9034,264
OUTUBRO,FORA_PONTA,2700,1350903.679725,126540.97886105,4098.41,451.113,2700
OUTUBRO,PONTA,276,-1.1293708749999993,15912.889575,0.1927779999999999,386.36300000000006,276
NOVEMBRO,FORA_PONTA,2652,1433456.86225,143460.7989,5123.67,536.7620000000001,2652
NOVEMBRO,PONTA,228,-0.7961770749999995,16001.199225,0.283172,533.344,228
DEZEMBRO,FORA_PONTA,2712,1453583.07825,159695.954975,5084.83,574.1379999999999,2712
DEZEMBRO,PONTA,264,-0.78575115,18947.893375,0.255235,550.332,264
