MES,R$SIM2,R$SIM10,Economia_R$,Economia_%
JAN,1128292.66,1000847.27,127445.39,11.295
FEV,1195764.83,1068862.38,126902.45,10.613
MAR,1273832.45,1147599.19,126233.26,9.91
ABR,1015371.32,886547.55,128823.77,12.687
MAI,1051258.3,923187.21,128071.09,12.183
JUN,1144916.86,1015347.55,129569.31,11.317
JUL,1189511.26,1071799.0,117712.26,9.896
AGO,1082950.95,956420.6,126530.35,11.684
SET,1031786.29,904028.23,127758.06,12.382
OUT,1058766.29,929275.96,129490.33,12.23
NOV,1163254.84,1065909.66,97345.18,8.368
DEZ,1154141.31,1027953.88,126187.43,10.933
TOTAIS,13489847.359999998,11997778.480000002,1492068.88,11.060680229965184
