0,0.02696079,0.0122087
0.25,0.03330161,0.0162854
0.5,0.02507759,0.00874511
0.75,0.02996856,0.00887565
1,0.03372212,0.01379872
1.25,0.0374286,0.01747631
1.5,0.03912562,0.01832375
1.75,0.0324638,0.0104967
2,0.03204971,0.00952407
2.25,0.03434272,0.01123928
2.5,0.03324811,0.01457768
2.75,0.03324811,0.01384366
3,0.03016009,0.01346167
3.25,0.03075501,0.01137517
3.5,0.03121939,0.01067432
3.75,0.03073575,0.01100388
4,0.02921956,0.01282181
4.25,0.02857649,0.01182671
4.5,0.0327313,0.01802201
4.75,0.02689017,0.01200005
5,0.03158319,0.01274263
5.25,0.02453617,0.00546556
5.5,0.02941323,0.00675063
5.75,0.02479725,0.00687903
6,0.02413492,0.00727065
6.25,0.02735776,0.00832888
6.5,0.02665263,0.00848296
6.75,0.02532262,0.00754885
7,0.02449872,0.00757239
7.25,0.02488178,0.00767297
7.5,0.02587902,0.00905434
7.75,0.02628562,0.00841662
8,0.01404696,0.00688652
8.25,0.01388218,0.00762268
8.5,0.01947935,0.01244089
8.75,0.02199278,0.01333541
9,0.02150058,0.00892273
9.25,0.02271824,0.0088703
9.5,0.02457469,0.00922982
9.75,0.03132532,0.01569262
10,0.03192345,0.01503243
10.25,0.03086094,0.01498963
10.5,0.01750627,0.00801858
10.75,0.01761969,0.00790409
11,0.02405574,0.00911212
11.25,0.03041261,0.01684287
11.5,0.025894,0.01045604
11.75,0.02860217,0.01024525
12,0.02884613,0.01028805
12.25,0.02768946,0.0094267
12.5,0.02951381,0.01228788
12.75,0.02539324,0.00992425
13,0.02246465,0.00921056
13.25,0.02139679,0.01140513
13.5,0.02951702,0.01347665
13.75,0.03228725,0.01368102
14,0.02624924,0.00716472
14.25,0.02739093,0.0066768
14.5,0.02681527,0.0072439
14.75,0.02983374,0.01002269
15,0.03202724,0.01037044
15.25,0.02889321,0.00694323
15.5,0.02439707,0.00945345
15.75,0.02676926,0.01381584
16,0.02637657,0.01091614
16.25,0.03786837,0.02050655
16.5,0.03222519,0.0118877
16.75,0.02674893,0.00771042
17,0.02869312,0.00740547
17.25,0.0263755,0.0062916
17.5,0.02848982,0.0081213
17.75,0.03376385,0.00702669
18,0.03044685,0.00620279
18.25,0.02759316,0.00579405
18.5,0.03045006,0.00715081
18.75,0.03087485,0.00550087
19,0.03118194,0.00532111
19.25,0.03186246,0.00592352
19.5,0.03408806,0.00560145
19.75,0.03030026,0.00576944
20,0.03830707,0.00858889
20.25,0.03626337,0.00609044
20.5,0.03329091,0.0043763
20.75,0.03576475,0.00582187
21,0.03165916,0.00607867
21.25,0.03591134,0.00631942
21.5,0.0376319,0.00917097
21.75,0.03130713,0.00818443
22,0.0383595,0.0128293
22.25,0.03405917,0.00962144
22.5,0.03197802,0.0105395
22.75,0.03200477,0.00950909
23,0.02997819,0.00789767
23.25,0.02898737,0.00874083
23.5,0.03323313,0.01330545
23.75,0.03533461,0.01095252
24,0.02816989,0.01011043
24.25,0.02951702,0.01343385
24.5,0.02801046,0.01396136
24.75,0.02731389,0.01266987
25,0.03538918,0.01503457
25.25,0.03507139,0.01516404
25.5,0.03279122,0.0110745
25.75,0.03274521,0.01113014
26,0.03742111,0.01560809
26.25,0.0332128,0.0096514
26.5,0.03638856,0.01536092
26.75,0.03306193,0.00826789
27,0.03102251,0.00991569
27.25,0.02975135,0.00892059
27.5,0.03007449,0.00735411
27.75,0.02546172,0.00749749
28,0.02855509,0.00782063
28.25,0.0313724,0.00903936
28.5,0.02834751,0.00769223
28.75,0.02849089,0.00928332
29,0.02582017,0.00836847
29.25,0.02616685,0.00775857
29.5,0.03490233,0.01220335
29.75,0.02645468,0.00926727
30,0.02798692,0.01120076
30.25,0.0296711,0.01151748
30.5,0.03170089,0.0112243
30.75,0.03444972,0.0084102
31,0.05683947,0.015729
31.25,0.07824696,0.01045283
31.5,0.07184194,0.01729655
31.75,0.09788146,0.01448031
