MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4640,0,1426010,-3,0.0,0.0,360.0,600.0,152377.6,0.0,9813.6,41502.0,0.0,0.0,213901.5,-0.45,527623.7,-1.77,945216.18
FEV,5036,172,1474296,111,0.0,0.0,0.0,428.0,165382.24,14334.48,0.0,29604.76,0.0,0.0,221144.4,16.65,545489.52,65.49,976037.54
MAR,5044,495,1587890,1222,0.0,0.0,0.0,105.0,165644.96,41253.3,0.0,7262.85,0.0,0.0,238183.5,183.3,587519.3,720.98,1040768.19
ABR,4034,0,1213605,-1,0.0,0.0,966.0,600.0,132476.56,0.0,26333.16,41502.0,0.0,0.0,182040.75,-0.15,449033.85,-0.59,831385.58
MAI,4037,184,1270562,248,0.0,0.0,963.0,416.0,132575.08,15334.56,26251.38,28774.72,0.0,0.0,190584.3,37.2,470107.94,146.32,863811.5
JUN,4415,324,1429458,1720,0.0,0.0,585.0,276.0,144988.6,27002.16,15947.1,19090.92,0.0,0.0,214418.7,258.0,528899.46,1014.8,951619.74
JUL,4646,848,1424748,3249,0.0,248.0,354.0,0.0,152574.64,70672.32,9650.04,0.0,0.0,41336.64,213712.2,487.35,527156.76,1916.91,1017506.86
AGO,4038,51,1335867,64,0.0,0.0,962.0,549.0,132607.92,4250.34,26224.12,37974.33,0.0,0.0,200380.05,9.6,494270.79,37.76,895754.91
SET,4038,0,1249698,-1,0.0,0.0,962.0,600.0,132607.92,0.0,26224.12,41502.0,0.0,0.0,187454.7,-0.15,462388.26,-0.59,850176.26
OUT,4038,0,1284659,-2,0.0,0.0,962.0,600.0,132607.92,0.0,26224.12,41502.0,0.0,0.0,192698.85,-0.3,475323.83,-1.18,868355.24
NOV,5027,774,1369180,1831,0.0,174.0,0.0,0.0,165086.68,64505.16,0.0,0.0,0.0,29002.32,205377.0,274.65,506596.6,1080.29,971922.7
DEZ,5029,600,1388621,1253,0.0,0.0,0.0,0.0,165152.36,50004.0,0.0,0.0,0.0,0.0,208293.15,187.95,513789.77,739.27,938166.5
TOTAIS,5044,848,16454594,9691,,,,,,,,,,,,,,,11150721.2
