MES,R$SIM2,R$SIM17,Economia_R$,Economia_%
JAN,1128292.66,945216.18,183076.48,16.226
FEV,1195764.83,976037.54,219727.29,18.375
MAR,1273832.45,1040768.19,233064.26,18.296
ABR,1015371.32,831385.58,183985.74,18.12
MAI,1051258.3,863811.5,187446.8,17.831
JUN,1144916.86,951619.74,193297.12,16.883
JUL,1189511.26,1017506.86,172004.4,14.46
AGO,1082950.95,895754.91,187196.04,17.286
SET,1031786.29,850176.26,181610.03,17.602
OUT,1058766.29,868355.24,190411.05,17.984
NOV,1163254.84,971922.7,191332.14,16.448
DEZ,1154141.31,938166.5,215974.81,18.713
TOTAIS,13489847.359999998,11150721.2,2339126.16,17.339900871939893
