MES,R$SIM2,R$SIM13,Economia_R$,Economia_%
JAN,1128292.66,922664.26,205628.4,18.225
FEV,1195764.83,980024.5,215740.33,18.042
MAR,1273832.45,1053601.38,220231.07,17.289
ABR,1015371.32,809284.58,206086.74,20.297
MAI,1051258.3,840488.52,210769.78,20.049
JUN,1144916.86,925315.6,219601.26,19.181
JUL,1189511.26,921415.82,268095.44,22.538
AGO,1082950.95,873233.58,209717.37,19.365
SET,1031786.29,829480.34,202305.95,19.607
OUT,1058766.29,848556.54,210209.75,19.854
NOV,1163254.84,933045.56,230209.28,19.79
DEZ,1154141.31,935451.06,218690.25,18.948
TOTAIS,13489847.359999998,10872561.740000002,2617285.6199999996,19.40189203148997
