Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
5832.0,1.1,0.714,0.36,0.891,0.433,-0.26
5832.25,1.18,0.73,0.36,0.966,0.439,-0.26
5832.5,1.17,0.554,0.38,0.885,0.209,-0.25
5832.75,1.01,0.616,0.541,0.764,0.314,-0.11
5833.0,1.19,0.727,0.567,0.982,0.458,-0.06
5833.25,1.36,0.57,0.444,1.24,0.268,-0.18
5833.5,1.2,0.632,0.381,1.04,0.325,-0.25
5833.75,1.13,0.671,0.366,0.851,0.38,-0.25
5834.0,1.14,0.539,0.386,0.914,0.236,-0.24
5834.25,1.08,0.6,0.383,0.813,0.307,-0.24
5834.5,1.05,0.715,0.368,0.79,0.439,-0.25
5834.75,1.18,0.613,0.413,0.972,0.314,-0.21
5835.0,1.32,0.541,0.473,1.1,0.207,-0.15
5835.25,1.06,0.689,0.456,0.812,0.406,-0.16
5835.5,1.02,0.675,0.503,0.745,0.394,-0.14
5835.75,1.06,0.598,0.473,0.805,0.319,-0.16
5836.0,1.34,0.614,0.368,1.16,0.303,-0.25
5836.25,1.07,0.707,0.362,0.788,0.377,-0.26
5836.5,0.99,0.574,0.387,0.721,0.251,-0.24
5836.75,1.14,0.669,0.372,0.887,0.371,-0.25
5837.0,1.22,0.62,0.438,1.01,0.314,-0.18
5837.25,1.17,0.602,0.464,0.957,0.268,-0.15
5837.5,1.08,0.632,0.367,0.797,0.326,-0.25
5837.75,1.1,0.56,0.364,0.869,0.224,-0.26
5838.0,1.07,0.69,0.537,0.803,0.41,-0.12
5838.25,1.25,0.696,0.463,0.85,0.389,-0.17
5838.5,1.36,0.529,0.36,0.911,0.196,-0.26
5838.75,1.61,0.611,0.401,1.07,0.319,-0.13
5839.0,1.31,0.729,0.439,0.639,0.411,0.204
5839.25,0.859,0.766,0.502,0.00211,0.459,0.203
5839.5,1.04,0.908,0.649,0.207,0.354,0.156
5839.75,0.935,1.0,0.698,0.0938,0.376,0.0615
5840.0,1.08,1.15,0.61,0.221,0.36,0.066
5840.25,1.2,1.06,0.631,0.244,0.234,0.0853
5840.5,2.4,1.39,0.833,0.256,0.479,0.155
5840.75,1.42,1.25,0.88,0.11,0.308,0.17
5841.0,1.12,0.912,0.808,0.005,0.126,0.133
5841.25,1.09,0.903,0.754,-0.03,0.13,0.14
5841.5,1.39,1.22,0.833,0.389,0.39,0.207
5841.75,1.37,1.42,1.05,0.334,0.676,0.291
5842.0,1.43,1.34,1.08,0.349,0.566,0.291
5842.25,1.75,1.15,0.926,0.374,0.458,0.112
5842.5,1.35,1.11,0.841,0.339,0.373,0.02
5842.75,1.24,1.09,0.914,0.149,0.351,0.035
5843.0,1.23,1.05,0.816,0.188,0.275,0.0518
5843.25,1.29,1.06,0.836,0.265,0.172,0.257
5843.5,1.14,1.24,0.819,0.0553,0.285,0.237
5843.75,1.69,1.13,0.743,-0.069,0.182,0.0771
5844.0,1.41,1.05,0.672,-0.1,0.181,0.0658
5844.25,1.78,1.04,0.751,0.182,0.399,0.0903
5844.5,1.53,1.06,0.745,0.154,0.303,0.0561
5844.75,1.99,1.24,0.853,0.0183,0.31,0.1
5845.0,2.32,1.21,0.881,0.0662,0.205,0.132
5845.25,1.73,2.2,1.07,0.0258,0.318,0.165
5845.5,2.75,2.36,2.85,-0.042,0.466,0.823
5845.75,2.63,2.18,3.08,0.095,0.186,0.965
5846.0,2.79,2.13,3.25,0.212,0.252,0.874
5846.25,3.27,2.2,3.21,0.435,0.34,0.89
5846.5,3.53,2.39,3.45,0.583,0.492,1.01
5846.75,3.33,2.65,3.67,0.297,0.535,0.997
5847.0,3.25,2.29,3.66,0.276,0.34,0.82
5847.25,2.69,2.13,3.57,0.0582,0.285,0.819
5847.5,1.68,1.38,1.67,0.0311,0.241,0.136
5847.75,2.5,1.65,1.71,0.144,0.316,0.0886
5848.0,2.03,1.79,1.8,0.311,0.368,0.193
5848.25,2.57,1.48,1.99,0.0676,0.52,0.308
5848.5,1.97,1.48,2.7,0.135,0.611,0.438
5848.75,1.75,1.34,0.967,-0.011,0.123,0.121
5849.0,1.6,1.51,1.2,0.0697,0.212,0.0653
5849.25,1.45,1.2,1.89,-0.023,0.121,0.105
5849.5,1.91,1.54,1.49,0.00577,0.218,0.158
5849.75,1.89,1.31,1.92,0.725,0.0718,0.213
5850.0,1.92,1.17,1.34,0.783,0.0393,0.13
5850.25,1.88,1.47,1.4,0.792,0.076,0.00786
5850.5,1.81,1.32,1.13,0.664,0.107,-0.3
5850.75,2.05,1.69,1.09,0.698,0.258,-0.25
5851.0,3.3,2.56,1.23,0.63,0.158,-0.13
5851.25,3.89,2.76,1.09,0.826,0.138,-0.18
5851.5,3.88,2.6,1.15,0.817,0.28,-0.22
5851.75,3.73,2.4,1.32,0.758,0.264,-0.16
5852.0,3.77,2.2,1.26,0.782,0.093,-0.14
5852.25,3.56,2.25,0.996,0.785,0.0747,-0.24
5852.5,4.06,2.42,1.1,1.04,0.201,-0.25
5852.75,3.72,2.43,1.31,0.94,0.235,-0.21
5853.0,3.54,2.55,1.04,0.721,0.383,-0.25
5853.25,3.54,2.3,1.07,0.745,0.171,-0.23
5853.5,2.88,1.97,1.13,0.768,0.196,-0.13
5853.75,1.84,1.31,0.982,0.528,0.257,-0.19
5854.0,1.86,0.955,1.08,0.579,0.121,-0.23
5854.25,1.65,0.912,1.06,0.731,0.297,-0.27
5854.5,1.65,0.821,0.958,0.78,0.172,-0.35
5854.75,1.14,0.494,0.72,0.906,0.191,-0.29
5855.0,0.917,0.451,0.732,0.714,0.193,-0.24
5855.25,1.02,0.446,0.596,0.837,0.159,-0.28
5855.5,0.949,0.654,0.559,0.748,0.431,-0.28
5855.75,0.853,0.497,0.639,0.64,0.24,-0.21
5856.0,1.05,0.51,0.89,0.829,0.26,-0.098
5856.25,1.17,0.599,0.968,1.06,0.359,-0.097
5856.5,0.89,0.463,0.893,0.684,0.189,-0.24
5856.75,0.965,0.584,0.697,0.768,0.33,-0.29
5857.0,1.01,0.599,0.661,0.853,0.348,-0.29
5857.25,1.16,0.524,0.622,0.991,0.285,-0.26
5857.5,1.11,0.525,0.805,0.976,0.25,-0.28
5857.75,0.943,0.529,0.824,0.784,0.268,-0.25
5858.0,1.09,0.5,0.672,0.914,0.236,-0.18
5858.25,0.97,0.555,0.568,0.788,0.294,-0.21
5858.5,0.947,0.495,0.665,0.717,0.221,-0.21
