Descricao,Valor
kWh fornecido (EnergyMeter kWh),17253158.0
kWh da carga (Zone kWh),15130890.0
Zone losses (Zone Losses kWh),1022622.0
Perdas na linha MT (Line Losses kWh),37475.0
Perdas nos trafos (Transformer Losses kWh),985135.0
Perdas em vazio ferro (No Load Losses kWh),942264.0
Perdas em carga cobre (Transformer - NoLoad) kWh,42871.0
