MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4748.0,0.0,1499993.0,-1,0.0,0.0,327.0,0.0,155924.32,0.0,8914.02,0.0,0.0,0.0,224998.95,-0.15,554997.41,-0.59,944833.96
FEV,5113.0,0.0,1538993.0,-1,0.0,0.0,0.0,0.0,167910.92,0.0,0.0,0.0,0.0,0.0,230848.95,-0.15,569427.41,-0.59,968186.54
MAR,5121.0,0.0,1659893.0,-1,0.0,0.0,0.0,0.0,168173.64,0.0,0.0,0.0,0.0,0.0,248983.95,-0.15,614160.41,-0.59,1031317.26
ABR,4099.0,0.0,1276874.0,-1,0.0,0.0,976.0,0.0,134611.16,0.0,26605.76,0.0,0.0,0.0,191531.1,-0.15,472443.38,-0.59,825190.66
MAI,4099.0,0.0,1336106.0,-2,0.0,0.0,976.0,0.0,134611.16,0.0,26605.76,0.0,0.0,0.0,200415.9,-0.3,494359.22,-1.18,855990.56
JUN,4518.0,0.0,1494306.0,-2,0.0,0.0,557.0,0.0,148371.12,0.0,15183.82,0.0,0.0,0.0,224145.9,-0.3,552893.22,-1.18,940592.58
JUL,4753.0,0.0,1498144.0,-2,0.0,0.0,322.0,0.0,156088.52,0.0,8777.72,0.0,0.0,0.0,224721.6,-0.3,554313.28,-1.18,943899.64
AGO,4100.0,0.0,1399598.0,-1,0.0,0.0,975.0,0.0,134644.0,0.0,26578.5,0.0,0.0,0.0,209939.7,-0.15,517851.26,-0.59,889012.72
SET,4100.0,0.0,1311867.0,-2,0.0,0.0,975.0,0.0,134644.0,0.0,26578.5,0.0,0.0,0.0,196780.05,-0.3,485390.79,-1.18,843391.86
OUT,4099.0,0.0,1350924.0,-1,0.0,0.0,976.0,0.0,134611.16,0.0,26605.76,0.0,0.0,0.0,202638.6,-0.15,499841.88,-0.59,863696.66
NOV,5125.0,0.0,1433497.0,-1,0.0,0.0,0.0,0.0,168305.0,0.0,0.0,0.0,0.0,0.0,215024.55,-0.15,530393.89,-0.59,913722.7
DEZ,5099.0,0.0,1453674.0,-1,0.0,0.0,0.0,0.0,167451.16,0.0,0.0,0.0,0.0,0.0,218051.1,-0.15,537859.38,-0.59,923360.9
TOTAIS,5125.0,0.0,17253869.0,-16,0.0,0.0,976.0,0.0,1805346.16,0.0,165849.84000000003,0.0,0.0,0.0,2588080.35,-2.4,6383931.529999999,-9.44,10943196.04
CTOTAL,,,17253853.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,10943196.04
DCFP,5075.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
