Mes,Posto,N_pontos_SIM20,Consumo_P_SIM20_kWh,Consumo_Q_SIM20_kVArh,DemandaMax_P_SIM20_kW,DemandaMax_Q_SIM20_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1499993.4035,148031.23134275,4748.3,438.407,2712
JANEIRO,PONTA,264,-1.1191656249999986,17758.9324,0.176976,489.1120000000001,264
FEVEREIRO,FORA_PONTA,2448,1538993.07225,126925.35209775,5113.26,451.9740000000001,2448
FEVEREIRO,PONTA,240,-0.868005724999999,18611.7566,0.194097,535.448,240
MARCO,FORA_PONTA,2736,1659893.1342500001,133387.434031,5120.79,380.484,2736
MARCO,PONTA,240,-0.6361680499999997,18622.826275,0.249244,451.727,240
ABRIL,FORA_PONTA,2640,1276873.74175,111152.217265925,4099.43,368.956,2640
ABRIL,PONTA,240,-1.3081784499999998,13241.347175,0.15937,383.8440000000001,240
MAIO,FORA_PONTA,2724,1336106.44375,99454.2274592,4098.7,393.476,2724
MAIO,PONTA,252,-2.0363395999999985,13189.377975,0.2056,290.8455,252
JUNHO,FORA_PONTA,2640,1494305.948225,76918.1803922375,4518.26,248.6931,2640
JUNHO,PONTA,240,-2.066114099999999,12438.52525,0.2167299999999999,276.9894,240
JULHO,FORA_PONTA,2700,1498144.08725,66837.48245552,4753.219999999999,250.5163,2700
JULHO,PONTA,276,-2.021326099999999,12395.37655,0.225203,340.575,276
AGOSTO,FORA_PONTA,2724,1399598.428,82360.876284075,4100.3,254.1204,2724
AGOSTO,PONTA,252,-0.7807791749999998,12908.373975,0.2332059999999999,308.356,252
SETEMBRO,FORA_PONTA,2616,1311867.30975,89886.0655026525,4100.48,324.787,2616
SETEMBRO,PONTA,264,-1.6173452499999996,13826.149125,0.194046,292.8075,264
OUTUBRO,FORA_PONTA,2700,1350924.06135,106636.901734875,4098.79,347.62,2700
OUTUBRO,PONTA,276,-1.0877906249999998,15988.064175,0.1986909999999999,388.901,276
NOVEMBRO,FORA_PONTA,2652,1433496.838,109978.2722819,5125.27,367.971,2652
NOVEMBRO,PONTA,228,-0.7110597749999995,16039.40975,0.280017,511.961,228
DEZEMBRO,FORA_PONTA,2712,1453673.843,121983.117629875,5099.1900000000005,412.406,2712
DEZEMBRO,PONTA,264,-0.7829705749999991,18979.9065,0.2505099999999999,533.0129999999999,264
