Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
0.000000,0.977259,0.980142,0.979548,0.975478,0.974814,0.974305,0.980868,0.974342,0.971077,0.970859,0.975017,0.974959,0.974245,0.974364,0.977339,0.974436,0.975095
0.250000,0.977259,0.980142,0.979548,0.975478,0.974814,0.974305,0.980868,0.974342,0.971077,0.970859,0.975017,0.974959,0.974245,0.974364,0.977339,0.974436,0.975095
0.500000,0.977338,0.980167,0.979565,0.975581,0.974929,0.974425,0.980902,0.974576,0.971271,0.971136,0.975070,0.975047,0.974327,0.974435,0.977320,0.974512,0.975159
0.750000,0.977324,0.980142,0.979537,0.975567,0.974911,0.974406,0.980880,0.974518,0.971282,0.971074,0.975017,0.974932,0.974255,0.974368,0.977297,0.974441,0.975136
1.000000,0.977338,0.980178,0.979581,0.975572,0.974912,0.974406,0.980911,0.974444,0.971318,0.970985,0.975102,0.975047,0.974362,0.974468,0.977360,0.974541,0.975205
1.250000,0.977214,0.980081,0.979487,0.975437,0.974774,0.974267,0.980811,0.974248,0.971223,0.970771,0.975030,0.974873,0.974305,0.974405,0.977265,0.974480,0.975132
1.500000,0.977283,0.980168,0.979581,0.975499,0.974830,0.974323,0.980890,0.974294,0.971214,0.970803,0.975092,0.974973,0.974345,0.974450,0.977396,0.974523,0.975186
1.750000,0.977336,0.980191,0.979600,0.975567,0.974904,0.974399,0.980918,0.974486,0.971109,0.971027,0.975038,0.974773,0.974241,0.974362,0.977404,0.974432,0.975106
2.000000,0.977398,0.980273,0.979690,0.975625,0.974963,0.974457,0.980993,0.974573,0.971250,0.971100,0.975148,0.975065,0.974364,0.974482,0.977990,0.974553,0.975250
2.250000,0.977372,0.980229,0.979642,0.975602,0.974939,0.974431,0.980954,0.974503,0.971245,0.971035,0.975029,0.974982,0.974200,0.974332,0.977934,0.974397,0.975195
2.500000,0.977402,0.980238,0.979647,0.975644,0.974984,0.974477,0.980967,0.974495,0.971368,0.971050,0.975100,0.975000,0.974308,0.974423,0.977942,0.974503,0.975241
