MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5566,0,1593568,-2,0.0,0.0,0.0,0.0,182787.44,0.0,0.0,0.0,0.0,0.0,239035.2,-0.3,589620.16,-1.18,1011441.32
FEV,5928,0,1647110,-3,378.0,0.0,0.0,0.0,194675.52,0.0,0.0,0.0,24827.04,0.0,247066.5,-0.45,609430.7,-1.77,1075997.54
MAR,6075,0,1777189,-3,525.0,0.0,0.0,0.0,199503.0,0.0,0.0,0.0,34482.0,0.0,266578.35,-0.45,657559.93,-1.77,1158121.06
ABR,5561,0,1356307,-2,0.0,0.0,0.0,0.0,182623.24,0.0,0.0,0.0,0.0,0.0,203446.05,-0.3,501833.59,-1.18,887901.4
MAI,5596,0,1420985,-3,0.0,0.0,0.0,0.0,183772.64,0.0,0.0,0.0,0.0,0.0,213147.75,-0.45,525764.45,-1.77,922682.62
JUN,5605,0,1600826,-2,0.0,0.0,0.0,0.0,184068.2,0.0,0.0,0.0,0.0,0.0,240123.9,-0.3,592305.62,-1.18,1016496.24
JUL,5605,0,1594068,-2,0.0,0.0,0.0,0.0,184068.2,0.0,0.0,0.0,0.0,0.0,239110.2,-0.3,589805.16,-1.18,1012982.08
AGO,5605,0,1492672,-1,0.0,0.0,0.0,0.0,184068.2,0.0,0.0,0.0,0.0,0.0,223900.8,-0.15,552288.64,-0.59,960256.9
SET,5600,0,1396924,-1,0.0,0.0,0.0,0.0,183904.0,0.0,0.0,0.0,0.0,0.0,209538.6,-0.15,516861.88,-0.59,910303.74
OUT,5587,0,1437342,-2,0.0,0.0,0.0,0.0,183477.08,0.0,0.0,0.0,0.0,0.0,215601.3,-0.3,531816.54,-1.18,930893.44
NOV,6008,0,1530648,-3,458.0,0.0,0.0,0.0,197302.72,0.0,0.0,0.0,30081.44,0.0,229597.2,-0.45,566339.76,-1.77,1023318.9
DEZ,5907,0,1552728,-3,357.0,0.0,0.0,0.0,193985.88,0.0,0.0,0.0,23447.76,0.0,232909.2,-0.45,574509.36,-1.77,1024849.98
TOTAIS,6075,0,18400367,-27,1718.0,0.0,0.0,0.0,2254236.12,0.0,0.0,0.0,112838.23999999999,0.0,2760055.0500000003,-4.05,6808135.79,-15.93,11935245.22
