Mes,Posto,N_pontos_SIM13,Consumo_P_SIM13_kWh,Consumo_Q_SIM13_kVArh,DemandaMax_P_SIM13_kW,DemandaMax_Q_SIM13_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1593567.6775,191558.231725,5566.35,679.4060000000001,2712
JANEIRO,PONTA,264,-1.9611326499999986,18976.590675,0.234517,534.149,264
FEVEREIRO,FORA_PONTA,2448,1647110.4745,197066.6091666375,5927.53,697.746,2448
FEVEREIRO,PONTA,240,-3.3209990999999985,20134.64635,0.2203999999999999,587.2289999999999,240
MARCO,FORA_PONTA,2736,1777188.7115,199711.15805,6075.12,623.011,2736
MARCO,PONTA,240,-3.144609624999999,20349.6978,0.237415,503.881,240
ABRIL,FORA_PONTA,2640,1356306.84525,133673.3595,5561.16,464.405,2640
ABRIL,PONTA,240,-1.6190591249999997,14175.09385,0.216205,417.054,240
MAIO,FORA_PONTA,2724,1420984.5935,122687.70135,5595.96,469.845,2724
MAIO,PONTA,252,-2.870195874999999,14179.406625,0.24072,314.596,252
JUNHO,FORA_PONTA,2640,1600826.448375,109569.0984775,5604.6900000000005,423.973,2640
JUNHO,PONTA,240,-2.4925354499999988,13608.717575,0.259376,304.086,240
JULHO,FORA_PONTA,2700,1594068.3955,99223.47145,5605.11,402.982,2700
JULHO,PONTA,276,-2.448966874999999,13351.522925,0.374581,394.66,276
AGOSTO,FORA_PONTA,2724,1492671.52375,104132.163275,5604.66,421.75,2724
AGOSTO,PONTA,252,-0.6626657499999998,13925.868625000001,0.2347,336.751,252
SETEMBRO,FORA_PONTA,2616,1396923.986,112214.30175,5599.8,454.702,2616
SETEMBRO,PONTA,264,-1.1038374249999994,14804.294475,0.208475,318.996,264
OUTUBRO,FORA_PONTA,2700,1437342.490075,132339.15695,5586.63,504.2629999999999,2700
OUTUBRO,PONTA,276,-1.662892599999999,17147.8933,0.215259,422.171,276
NOVEMBRO,FORA_PONTA,2652,1530647.678,151026.3956,6007.77,582.03,2652
NOVEMBRO,PONTA,228,-2.790747924999999,17456.0721,0.2402579999999999,603.3720000000001,228
DEZEMBRO,FORA_PONTA,2712,1552728.3055,168670.15645,5906.6,620.3140000000001,2712
DEZEMBRO,PONTA,264,-2.763577399999999,20490.110075,0.3013640000000001,617.889,264
