MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4582.0,0.0,1494157.0,-1,0.0,0.0,0.0,0.0,150472.88,0.0,0.0,0.0,0.0,0.0,224123.55,-0.15,552838.09,-0.59,927433.78
FEV,4618.0,0.0,1538862.0,-1,0.0,0.0,0.0,0.0,151655.12,0.0,0.0,0.0,0.0,0.0,230829.3,-0.15,569378.94,-0.59,951862.62
MAR,4624.0,0.0,1656560.0,-1,0.0,0.0,0.0,0.0,151852.16,0.0,0.0,0.0,0.0,0.0,248484.0,-0.15,612927.2,-0.59,1013262.62
ABR,3616.0,0.0,1271398.0,-1,0.0,0.0,952.0,0.0,118749.44,0.0,25951.52,0.0,0.0,0.0,190709.7,-0.15,470417.26,-0.59,805827.18
MAI,3588.0,0.0,1330440.0,-2,0.0,0.0,980.0,0.0,117829.92,0.0,26714.8,0.0,0.0,0.0,199566.0,-0.3,492262.8,-1.18,836372.04
JUN,4517.0,0.0,1488164.0,-2,0.0,0.0,51.0,0.0,148338.28,0.0,1390.26,0.0,0.0,0.0,223224.6,-0.3,550620.68,-1.18,923572.34
JUL,4602.0,0.0,1494215.0,-2,0.0,0.0,0.0,0.0,151129.68,0.0,0.0,0.0,0.0,0.0,224132.25,-0.3,552859.55,-1.18,928120.0
AGO,3588.0,0.0,1396546.0,-1,0.0,0.0,980.0,0.0,117829.92,0.0,26714.8,0.0,0.0,0.0,209481.9,-0.15,516722.02,-0.59,870747.9
SET,3587.0,0.0,1303854.0,-2,0.0,0.0,981.0,0.0,117797.08,0.0,26742.06,0.0,0.0,0.0,195578.1,-0.3,482425.98,-1.18,822541.74
OUT,4032.0,0.0,1346049.0,-1,0.0,0.0,536.0,0.0,132410.88,0.0,14611.36,0.0,0.0,0.0,201907.35,-0.15,498038.13,-0.59,846966.98
NOV,4624.0,0.0,1432831.0,-1,0.0,0.0,0.0,0.0,151852.16,0.0,0.0,0.0,0.0,0.0,214924.65,-0.15,530147.47,-0.59,896923.54
DEZ,4605.0,0.0,1451384.0,-1,0.0,0.0,0.0,0.0,151228.2,0.0,0.0,0.0,0.0,0.0,217707.6,-0.15,537012.08,-0.59,905947.14
TOTAIS,4624.0,0.0,17204460.0,-16,0.0,0.0,981.0,0.0,1661145.7199999997,0.0,122124.8,0.0,0.0,0.0,2580669.0,-2.4,6365650.199999999,-9.44,10729577.880000003
CTOTAL,,,17204444.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,10729577.880000003
DCFP,4568.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
