segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv,monitor_bessm4_csv
36,FORA_PONTA,644.75,84,40.5381,100.0,43.7372,100.0,45.2114,100.0,46.1503,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00036_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00036_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00036_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00036_FORA_PONTA.csv
37,PONTA,665.75,12,100.0,35.7194,100.0,39.1644,100.0,40.7524,100.0,41.7636,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00037_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00037_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00037_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00037_PONTA.csv
38,FORA_PONTA,668.75,84,35.7194,100.0,39.1644,100.0,40.7524,100.0,41.7636,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00038_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00038_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00038_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00038_FORA_PONTA.csv
39,PONTA,689.75,12,100.0,39.3596,100.0,42.6192,100.0,44.1214,100.0,45.0781,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00039_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00039_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00039_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00039_PONTA.csv
40,FORA_PONTA,692.75,84,39.3596,100.0,42.6192,100.0,44.1214,100.0,45.0781,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00040_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00040_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00040_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00040_FORA_PONTA.csv
41,PONTA,713.75,12,100.0,42.7611,100.0,45.8463,100.0,47.2678,100.0,48.1732,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00041_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00041_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00041_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00041_PONTA.csv
42,FORA_PONTA,716.75,84,42.7611,100.0,45.8463,100.0,47.2678,100.0,48.1732,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00042_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00042_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00042_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00042_FORA_PONTA.csv
43,PONTA,737.75,12,100.0,33.9537,100.0,37.4885,100.0,39.118,100.0,40.1557,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00043_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00043_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00043_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00043_PONTA.csv
44,FORA_PONTA,740.75,276,33.9537,100.0,37.4885,100.0,39.118,100.0,40.1557,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00044_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00044_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00044_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00044_FORA_PONTA.csv
45,PONTA,809.75,12,100.0,29.2453,100.0,33.0182,100.0,34.7579,100.0,35.8657,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM1_IN_s00045_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM2_IN_s00045_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM3_IN_s00045_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 012 segmentos_pass1_sem_hvac_int_ano_2039_2047\UFSM_Mon_BESSM4_IN_s00045_PONTA.csv
