MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5146.0,0.0,1575641.0,-2,0.0,0.0,404.0,638.0,168994.64,0.0,11013.04,44130.46,0.0,0.0,236346.15,-0.3,582987.17,-1.18,1043469.98
FEV,5913.0,152.0,1631751.0,62,363.0,0.0,0.0,486.0,194182.92,12667.68,0.0,33616.62,23841.84,0.0,244762.65,9.3,603747.87,36.58,1112865.46
MAR,6061.0,510.0,1759035.0,1073,511.0,0.0,0.0,128.0,199043.24,42503.4,0.0,8853.76,33562.48,0.0,263855.25,160.95,650842.95,633.07,1199455.1
ABR,4678.0,0.0,1342666.0,-1,0.0,0.0,872.0,638.0,153625.52,0.0,23770.72,44130.46,0.0,0.0,201399.9,-0.15,496786.42,-0.59,919712.28
MAI,4848.0,164.0,1404862.0,197,0.0,0.0,702.0,474.0,159208.32,13667.76,19136.52,32786.58,0.0,0.0,210729.3,29.55,519798.94,116.23,955473.2
JUN,5238.0,319.0,1582798.0,1409,0.0,0.0,312.0,319.0,172015.92,26585.46,8505.12,22065.23,0.0,0.0,237419.7,211.35,585635.26,831.31,1053269.35
JUL,5589.0,900.0,1575007.0,3248,0.0,262.0,0.0,0.0,183542.76,75006.0,0.0,0.0,0.0,43670.16,236251.05,487.2,582752.59,1916.32,1123626.08
AGO,5189.0,16.0,1476452.0,7,0.0,0.0,361.0,622.0,170406.76,1333.44,9840.86,43023.74,0.0,0.0,221467.8,1.05,546287.24,4.13,992365.02
SET,4895.0,0.0,1381154.0,-1,0.0,0.0,655.0,638.0,160751.8,0.0,17855.3,44130.46,0.0,0.0,207173.1,-0.15,511026.98,-0.59,940936.9
OUT,4804.0,0.0,1422619.0,-1,0.0,0.0,746.0,638.0,157763.36,0.0,20335.96,44130.46,0.0,0.0,213392.85,-0.15,526369.03,-0.59,961990.92
NOV,5993.0,819.0,1513828.0,1741,443.0,181.0,0.0,0.0,196810.12,68255.46,0.0,0.0,29096.24,30169.08,227074.2,261.15,560116.36,1027.19,1112809.8
DEZ,5892.0,627.0,1536508.0,1121,342.0,0.0,0.0,11.0,193493.28,52254.18,0.0,760.87,22462.56,0.0,230476.2,168.15,568507.96,661.39,1068784.59
TOTAIS,6061.0,900.0,18202321.0,8853,511.0,262.0,872.0,638.0,2109838.64,292273.38,110457.52000000002,317628.64,108963.12000000001,73839.24,2730348.1500000004,1327.95,6734858.7700000005,5223.2699999999995,12484758.680000002
CTOTAL,,,18211174.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,12484758.680000002
DCFP,5550.0,,,,,,,,,,,,,,,,,,
DCP,,638.0,,,,,,,,,,,,,,,,,
