Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM24,Consumo_P_SIM24_kWh,Consumo_Q_SIM24_kVArh,DemandaMax_P_SIM24_kW,DemandaMax_Q_SIM24_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1452207.17275,167134.161325,4503.05,602.919,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,-1.097861099999999,16739.3324,0.175169,471.94900000000007,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1503023.22525,172163.131247,4544.63,619.827,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,-1.186389249999999,17734.773175,0.221195,518.8,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1618196.41925,174052.233525,4544.98,558.024,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,-1.4856915249999991,17838.163425,0.242321,440.006,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1241146.5007500001,115735.402025,3552.01,348.661,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,-0.9341738499999991,12408.463725,0.191862,367.621,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1299213.59225,105370.129775,3534.43,390.745,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,-2.3619571249999987,12361.077075,0.2150109999999999,277.1443,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1455765.4566,92727.764,4439.96,279.6794,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,-2.388207074999999,11760.236275,0.258056,264.13300000000004,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1459907.8985000001,83698.462975,4523.09,266.7371,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,-3.078270299999999,11552.987975,0.2192819999999999,339.237,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1361960.7325,88340.1463,3534.7700000000004,257.66610000000003,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,-0.6707742999999997,12108.20165,0.214958,294.8541,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1271667.3360000001,95697.7865,3533.68,318.185,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,-0.9046016499999995,12929.5554,0.1912569999999999,279.1518,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1313019.647275,113864.7548125,3961.58,429.428,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,-1.2259367249999997,15024.04015,0.193371,372.827,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1398850.7045,131039.402675,4545.12,520.644,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,-1.6383622499999988,15301.608525,0.218101,526.918,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1418307.0185,146715.5289,4547.99,552.267,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,-1.4452598749999992,18047.668075,0.202951,541.965,264
