Descricao,Valor
kWh fornecido (EnergyMeter kWh),16792689.0
kWh da carga (Zone kWh),14904337.0
Zone losses (Zone Losses kWh),991686.0
Perdas na linha MT (Line Losses kWh),32287.0
Perdas nos trafos (Transformer Losses kWh),959407.0
Perdas em vazio ferro (No Load Losses kWh),917553.0
Perdas em carga cobre (Transformer - NoLoad) kWh,41854.0
