MES,R$SIM2,R$SIM24,Economia_R$,Economia_%
JAN,1128292.66,903025.42,225267.24,19.965
FEV,1195764.83,930829.02,264935.81,22.156
MAR,1273832.45,990718.98,283113.47,22.225
ABR,1015371.32,787885.86,227485.46,22.404
MAI,1051258.3,817979.52,233278.78,22.19
JUN,1144916.86,904441.52,240475.34,21.004
JUL,1189511.26,907685.26,281826.0,23.693
AGO,1082950.95,850614.28,232336.67,21.454
SET,1031786.29,803655.82,228130.47,22.11
OUT,1058766.29,827547.62,231218.67,21.838
NOV,1163254.84,876658.84,286596.0,24.637
DEZ,1154141.31,886875.22,267266.09,23.157
TOTAIS,13489847.359999998,10487917.36,3001930.0,22.253254020511026
