Descricao,Valor
kWh fornecido (EnergyMeter kWh),16855047.0
kWh da carga (Zone kWh),15123988.0
Zone losses (Zone Losses kWh),982753.0
Perdas na linha MT (Line Losses kWh),32672.0
Perdas nos trafos (Transformer Losses kWh),950071.0
Perdas em vazio ferro (No Load Losses kWh),892788.0
Perdas em carga cobre (Transformer - NoLoad) kWh,57283.0
