Mes,Posto,N_pontos_SIM12,Consumo_P_SIM12_kWh,Consumo_Q_SIM12_kVArh,DemandaMax_P_SIM12_kW,DemandaMax_Q_SIM12_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1458914.38375,164024.499925,5064.75,598.957,2712
JANEIRO,PONTA,264,-1.955461149999999,16589.670425,0.20699,480.385,264
FEVEREIRO,FORA_PONTA,2448,1507462.8525,169959.2587025,5424.45,616.086,2448
FEVEREIRO,PONTA,240,-3.137466124999999,17800.620825,0.21775,530.153,240
MARCO,FORA_PONTA,2736,1626867.833,171363.2803,5557.03,545.925,2736
MARCO,PONTA,240,-2.7792135749999987,18086.940225,0.265881,457.51,240
ABRIL,FORA_PONTA,2640,1243344.4655,111718.8933,5055.3,410.807,2640
ABRIL,PONTA,240,-1.4613422499999995,12325.12685,0.187777,373.052,240
MAIO,FORA_PONTA,2724,1303177.0135000001,101416.516025,5125.17,425.249,2724
MAIO,PONTA,252,-2.6780456249999984,12330.92285,0.228697,277.2872,252
JUNHO,FORA_PONTA,2640,1466930.6090250001,89614.2415975,5123.83,381.026,2640
JUNHO,PONTA,240,-2.2989388499999985,11943.52665,0.254595,271.4908,240
JULHO,FORA_PONTA,2700,1457947.38475,79748.0723425,5123.99,359.205,2700
JULHO,PONTA,276,50.336564675000005,11526.7229,117.4102,360.52,276
AGOSTO,FORA_PONTA,2724,1368245.24525,84420.4986725,5125.11,386.0,2724
AGOSTO,PONTA,252,-0.8708432999999995,12120.12257,0.205128,299.4027,252
SETEMBRO,FORA_PONTA,2616,1277397.8915,92088.887675,5124.16,401.023,2616
SETEMBRO,PONTA,264,-0.8160215249999992,12843.32105,0.214699,282.9184,264
OUTUBRO,FORA_PONTA,2700,1319012.492475,110385.4580275,5125.42,458.482,2700
OUTUBRO,PONTA,276,-1.6165506499999993,14949.396225,0.210269,377.148,276
NOVEMBRO,FORA_PONTA,2652,1404320.0005,127511.670425,5495.37,508.737,2652
NOVEMBRO,PONTA,228,8.032479174999999,15431.6086,43.8503,547.642,228
DEZEMBRO,FORA_PONTA,2712,1422171.41175,143183.50745,5402.61,545.706,2712
DEZEMBRO,PONTA,264,-2.623349699999999,18041.426175,0.253803,563.571,264
