MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4888.0,50.0,1495606.0,20,0.0,0.0,387.0,788.0,160521.92,4167.0,10549.62,54505.96,0.0,0.0,224340.9,3.0,553374.22,11.8,1007474.42
FEV,5327.0,375.0,1548780.0,792,0.0,0.0,0.0,463.0,174938.68,31252.5,0.0,32025.71,0.0,0.0,232317.0,118.8,573048.6,467.28,1044168.57
MAR,5328.0,716.0,1665106.0,4464,0.0,0.0,0.0,122.0,174971.52,59671.44,0.0,8438.74,0.0,0.0,249765.9,669.6,616089.22,2633.76,1112240.18
ABR,4201.0,0.0,1275607.0,-1,0.0,0.0,1074.0,838.0,137960.84,0.0,29277.24,57964.46,0.0,0.0,191341.05,-0.15,471974.59,-0.59,888517.44
MAI,4251.0,387.0,1333157.0,770,0.0,0.0,1024.0,451.0,139602.84,32252.58,27914.24,31195.67,0.0,0.0,199973.55,115.5,493268.09,454.3,924776.77
JUN,4651.0,535.0,1496400.0,6038,0.0,0.0,624.0,303.0,152738.84,44586.9,17010.24,20958.51,0.0,0.0,224460.0,905.7,553668.0,3562.42,1017890.61
JUL,4895.0,1088.0,1492247.0,5607,0.0,250.0,380.0,0.0,160751.8,90673.92,10358.8,0.0,0.0,41670.0,223837.05,841.05,552131.39,3308.13,1083572.14
AGO,4262.0,247.0,1400072.0,871,0.0,0.0,1013.0,591.0,139964.08,20584.98,27614.38,40879.47,0.0,0.0,210010.8,130.65,518026.64,513.89,957724.89
SET,4262.0,0.0,1309182.0,0,0.0,0.0,1013.0,838.0,139964.08,0.0,27614.38,57964.46,0.0,0.0,196377.3,0.0,484397.34,0.0,906317.56
OUT,4248.0,169.0,1351029.0,137,0.0,0.0,1027.0,669.0,139504.32,14084.46,27996.02,46274.73,0.0,0.0,202654.35,20.55,499880.73,80.83,930495.99
NOV,5326.0,1010.0,1434646.0,3962,0.0,172.0,0.0,0.0,174905.84,84173.4,0.0,0.0,0.0,28668.96,215196.9,594.3,530819.02,2337.58,1036696.0
DEZ,5326.0,827.0,1455309.0,3213,0.0,0.0,0.0,11.0,174905.84,68922.18,0.0,760.87,0.0,0.0,218296.35,481.95,538464.33,1895.67,1003727.19
TOTAIS,5328.0,1088.0,17257141.0,25873,0.0,250.0,1074.0,838.0,1870730.6000000003,450369.36000000004,178334.91999999998,350968.57999999996,0.0,70338.95999999999,2588571.15,3880.95,6385142.17,15265.07,11913601.76
CTOTAL,,,17283014.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,11913601.76
DCFP,5275.0,,,,,,,,,,,,,,,,,,
DCP,,838.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,5275.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,4220.0,,,,,,,,,,,,,,,,,,
