Mes,Posto,N_pontos_SIM29,Consumo_P_SIM29_kWh,Consumo_Q_SIM29_kVArh,DemandaMax_P_SIM29_kW,DemandaMax_Q_SIM29_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1595377.4915,188403.2898,4483.969999999999,684.569,2712
JANEIRO,PONTA,264,-3.362662299999999,18976.657175,0.185157,534.1700000000001,264
FEVEREIRO,FORA_PONTA,2448,1651679.0395,195502.937325,4483.849999999999,738.274,2448
FEVEREIRO,PONTA,240,-3.3638092249999985,20134.646275,0.250951,587.223,240
MARCO,FORA_PONTA,2736,1774323.22225,197943.11345,4483.61,666.683,2736
MARCO,PONTA,240,-3.1052129249999987,20349.683875,0.285844,503.883,240
ABRIL,FORA_PONTA,2640,1360980.195,130770.10615,3921.62,391.64200000000005,2640
ABRIL,PONTA,240,-2.1738714999999993,14175.111475,0.209849,417.0750000000001,240
MAIO,FORA_PONTA,2724,1417947.10225,119054.177125,3923.31,438.577,2724
MAIO,PONTA,252,-3.1419252999999987,14179.38895,0.236863,314.562,252
JUNHO,FORA_PONTA,2640,1594336.066775,105418.0849425,4481.63,319.283,2640
JUNHO,PONTA,240,-2.198703124999999,13608.71305,0.2760749999999999,304.072,240
JULHO,FORA_PONTA,2700,1598148.3815,95837.925,4484.3,306.39300000000003,2700
JULHO,PONTA,276,170.988418875,13335.83825,213.5944,390.185,276
AGOSTO,FORA_PONTA,2724,1489851.493,100277.08325,3923.69,291.2157,2724
AGOSTO,PONTA,252,-1.4939560499999995,13925.945175,0.202713,336.751,252
SETEMBRO,FORA_PONTA,2616,1390750.769,108302.768875,3922.54,358.346,2616
SETEMBRO,PONTA,264,-1.7756253499999994,14804.345325,0.2056289999999999,318.99800000000005,264
OUTUBRO,FORA_PONTA,2700,1437292.67075,128617.65946,4374.77,483.224,2700
OUTUBRO,PONTA,276,-2.4184266749999987,17147.945175,0.2024159999999999,422.168,276
NOVEMBRO,FORA_PONTA,2652,1532890.08825,148848.009625,4483.77,620.415,2652
NOVEMBRO,PONTA,228,30.42609295,17453.161575000002,134.2604,591.6129999999999,228
DEZEMBRO,FORA_PONTA,2712,1556030.47,166425.2942,4484.39,657.708,2712
DEZEMBRO,PONTA,264,-3.147890024999999,20490.080175,0.280352,617.8919999999999,264
