segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,soc_inicial_m5_pct,soc_final_m5_pct,meter_csv,monitor_csvs
0,FORA_PONTA,0.0,167,50.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 029 segmentos_ano_2031_2047\EXP_MTR_GERAL_S00000_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_GERAL_s00000_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM1_IN_s00000_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM2_IN_s00000_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM3_IN_s00000_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM4_IN_s00000_FORA_PONTA.csv', 'BESSM5_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM5_IN_s00000_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO1_s00000_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO2_s00000_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_ANTES_s00000_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_DEPOIS_s00000_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_ANTES_s00000_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_DEPOIS_s00000_FORA_PONTA.csv', '1630_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_ANTES_s00000_FORA_PONTA.csv', '1630_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_DEPOIS_s00000_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_ANTES_s00000_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_DEPOIS_s00000_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_ANTES_s00000_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_DEPOIS_s00000_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_ANTES_s00000_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_DEPOIS_s00000_FORA_PONTA.csv'}"
1,PONTA,41.75,12,100.0,81.7188,100.0,81.7188,100.0,81.7188,100.0,58.1491,100.0,58.5405,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 029 segmentos_ano_2031_2047\EXP_MTR_GERAL_S00001_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_GERAL_s00001_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM1_IN_s00001_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM2_IN_s00001_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM3_IN_s00001_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM4_IN_s00001_PONTA.csv', 'BESSM5_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM5_IN_s00001_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO1_s00001_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO2_s00001_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_ANTES_s00001_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_DEPOIS_s00001_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_ANTES_s00001_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_DEPOIS_s00001_PONTA.csv', '1630_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_ANTES_s00001_PONTA.csv', '1630_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_DEPOIS_s00001_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_ANTES_s00001_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_DEPOIS_s00001_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_ANTES_s00001_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_DEPOIS_s00001_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_ANTES_s00001_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_DEPOIS_s00001_PONTA.csv'}"
2,FORA_PONTA,44.75,84,81.7188,100.0,81.7188,100.0,81.7188,100.0,58.1491,100.0,58.5405,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 029 segmentos_ano_2031_2047\EXP_MTR_GERAL_S00002_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_GERAL_s00002_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM1_IN_s00002_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM2_IN_s00002_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM3_IN_s00002_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM4_IN_s00002_FORA_PONTA.csv', 'BESSM5_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM5_IN_s00002_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO1_s00002_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO2_s00002_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_ANTES_s00002_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_DEPOIS_s00002_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_ANTES_s00002_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_DEPOIS_s00002_FORA_PONTA.csv', '1630_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_ANTES_s00002_FORA_PONTA.csv', '1630_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_DEPOIS_s00002_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_ANTES_s00002_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_DEPOIS_s00002_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_ANTES_s00002_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_DEPOIS_s00002_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_ANTES_s00002_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_DEPOIS_s00002_FORA_PONTA.csv'}"
3,PONTA,65.75,12,100.0,83.2908,100.0,83.2908,100.0,83.2908,100.0,61.7504,100.0,62.1093,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 029 segmentos_ano_2031_2047\EXP_MTR_GERAL_S00003_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_GERAL_s00003_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM1_IN_s00003_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM2_IN_s00003_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM3_IN_s00003_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM4_IN_s00003_PONTA.csv', 'BESSM5_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM5_IN_s00003_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO1_s00003_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO2_s00003_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_ANTES_s00003_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_DEPOIS_s00003_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_ANTES_s00003_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_DEPOIS_s00003_PONTA.csv', '1630_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_ANTES_s00003_PONTA.csv', '1630_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_DEPOIS_s00003_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_ANTES_s00003_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_DEPOIS_s00003_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_ANTES_s00003_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_DEPOIS_s00003_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_ANTES_s00003_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_DEPOIS_s00003_PONTA.csv'}"
4,FORA_PONTA,68.75,276,83.2908,100.0,83.2908,100.0,83.2908,100.0,61.7504,100.0,62.1093,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 029 segmentos_ano_2031_2047\EXP_MTR_GERAL_S00004_FORA_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_GERAL_s00004_FORA_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM1_IN_s00004_FORA_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM2_IN_s00004_FORA_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM3_IN_s00004_FORA_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM4_IN_s00004_FORA_PONTA.csv', 'BESSM5_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM5_IN_s00004_FORA_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO1_s00004_FORA_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO2_s00004_FORA_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_ANTES_s00004_FORA_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_DEPOIS_s00004_FORA_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_ANTES_s00004_FORA_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_DEPOIS_s00004_FORA_PONTA.csv', '1630_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_ANTES_s00004_FORA_PONTA.csv', '1630_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_DEPOIS_s00004_FORA_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_ANTES_s00004_FORA_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_DEPOIS_s00004_FORA_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_ANTES_s00004_FORA_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_DEPOIS_s00004_FORA_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_ANTES_s00004_FORA_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_DEPOIS_s00004_FORA_PONTA.csv'}"
5,PONTA,137.75,12,100.0,81.2455,100.0,81.2455,100.0,81.2455,100.0,57.0646,100.0,57.4657,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 029 segmentos_ano_2031_2047\EXP_MTR_GERAL_S00005_PONTA.csv,"{'GERAL': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_GERAL_s00005_PONTA.csv', 'BESSM1_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM1_IN_s00005_PONTA.csv', 'BESSM2_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM2_IN_s00005_PONTA.csv', 'BESSM3_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM3_IN_s00005_PONTA.csv', 'BESSM4_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM4_IN_s00005_PONTA.csv', 'BESSM5_IN': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_BESSM5_IN_s00005_PONTA.csv', 'LADO1': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO1_s00005_PONTA.csv', 'LADO2': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_LADO2_s00005_PONTA.csv', '0700_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_ANTES_s00005_PONTA.csv', '0700_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_0700_DEPOIS_s00005_PONTA.csv', '1250_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_ANTES_s00005_PONTA.csv', '1250_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1250_DEPOIS_s00005_PONTA.csv', '1630_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_ANTES_s00005_PONTA.csv', '1630_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1630_DEPOIS_s00005_PONTA.csv', '1950_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_ANTES_s00005_PONTA.csv', '1950_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_1950_DEPOIS_s00005_PONTA.csv', '2220_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_ANTES_s00005_PONTA.csv', '2220_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2220_DEPOIS_s00005_PONTA.csv', '2380_ANTES': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_ANTES_s00005_PONTA.csv', '2380_DEPOIS': 'C:\\Users\\afole\\OneDrive\\Dissertacao2025\\Simulacao 029 segmentos_ano_2031_2047\\UFSM_Mon_2380_DEPOIS_s00005_PONTA.csv'}"
