MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4484.0,0.0,1595377.0,-3,0.0,0.0,0.0,0.0,147254.56,0.0,0.0,0.0,0.0,0.0,239306.55,-0.45,590289.49,-1.77,976848.38
FEV,4484.0,0.0,1651679.0,-3,0.0,0.0,0.0,0.0,147254.56,0.0,0.0,0.0,0.0,0.0,247751.85,-0.45,611121.23,-1.77,1006125.42
MAR,4484.0,0.0,1774323.0,-3,0.0,0.0,0.0,0.0,147254.56,0.0,0.0,0.0,0.0,0.0,266148.45,-0.45,656499.51,-1.77,1069900.3
ABR,3922.0,0.0,1360980.0,-2,0.0,0.0,518.0,0.0,128798.48,0.0,14120.68,0.0,0.0,0.0,204147.0,-0.3,503562.6,-1.18,850627.28
MAI,3923.0,0.0,1417947.0,-3,0.0,0.0,517.0,0.0,128831.32,0.0,14093.42,0.0,0.0,0.0,212692.05,-0.45,524640.39,-1.77,880254.96
JUN,4482.0,0.0,1594336.0,-2,0.0,0.0,0.0,0.0,147188.88,0.0,0.0,0.0,0.0,0.0,239150.4,-0.3,589904.32,-1.18,976242.12
JUL,4484.0,214.0,1598148.0,171,0.0,214.0,0.0,0.0,147254.56,17834.76,0.0,0.0,0.0,35669.52,239722.2,25.65,591314.76,100.89,1031922.34
AGO,3924.0,0.0,1489851.0,-1,0.0,0.0,516.0,0.0,128864.16,0.0,14066.16,0.0,0.0,0.0,223477.65,-0.15,551244.87,-0.59,917652.1
SET,3923.0,0.0,1390751.0,-2,0.0,0.0,517.0,0.0,128831.32,0.0,14093.42,0.0,0.0,0.0,208612.65,-0.3,514577.87,-1.18,866113.78
OUT,4375.0,0.0,1437293.0,-2,0.0,0.0,65.0,0.0,143675.0,0.0,1771.9,0.0,0.0,0.0,215593.95,-0.3,531798.41,-1.18,892837.78
NOV,4484.0,134.0,1532890.0,30,0.0,134.0,0.0,0.0,147254.56,11167.56,0.0,0.0,0.0,22335.12,229933.5,4.5,567169.3,17.7,977882.24
DEZ,4484.0,0.0,1556030.0,-3,0.0,0.0,0.0,0.0,147254.56,0.0,0.0,0.0,0.0,0.0,233404.5,-0.45,575731.1,-1.77,956387.94
TOTAIS,4484.0,214.0,18399605.0,177,0.0,214.0,518.0,0.0,1689716.52,29002.32,58145.58,0.0,0.0,58004.64,2759940.75,26.55,6807853.85,104.42999999999999,11402794.639999999
CTOTAL,,,18399782.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,11402794.639999999
DCFP,4440.0,,,,,,,,,,,,,,,,,,
DCP,,0.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,4440.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,3885.0,,,,,,,,,,,,,,,,,,
