Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM7,Consumo_P_SIM7_kWh,Consumo_Q_SIM7_kVArh,DemandaMax_P_SIM7_kW,DemandaMax_Q_SIM7_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1325608.92625,125648.989175,4613.79,545.431,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,55437.75725,12728.70205,1414.203,380.503,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1372150.985,134243.730175,5306.91,562.571,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,64609.97775,13366.65595,1722.92,418.105,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1468866.83275,131251.05147500001,5437.77,493.494,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,79136.02125,12657.05795,2046.576,304.748,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1116132.46225,75083.412375375,3501.13,290.6653,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,59160.299,8349.041525,1330.754,281.4504,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1163726.46275,63309.21706925,3465.21,333.013,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,67189.4815,7822.358975,1733.6830000000002,206.9962,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1311980.592125,51940.23736575,4389.17,222.4084,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,79045.95225,6575.2076,1874.243,163.249,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1308426.91725,41840.32358061,4620.59,209.4827,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,74297.82825,6449.2471,2397.596,189.6128,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1223639.977,46354.183011225,3468.37,199.8284,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,70433.57321125,7377.7139875,1601.1419999999998,231.851,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1141047.06575,55408.332592075,3105.41,260.0046,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,66406.01575,8405.421275,1310.708,203.0632,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1176042.324825,72180.0333025,3909.98,371.661,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,68487.499,10321.186975,1527.894,291.8716,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1263322.53475,89782.9825175,5376.6,456.646,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,67970.6875,10757.95135,2324.292,369.858,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1285828.986,104908.172025,5285.639999999999,493.203,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,63402.244,13536.006825,2150.866,398.927,264
