MES,R$SIM2,R$SIM7,Economia_R$,Economia_%
JAN,1128292.66,1064597.3,63695.36,5.645
FEV,1195764.83,1132364.47,63400.36,5.302
MAR,1273832.45,1210903.23,62929.22,4.94
ABR,1015371.32,951036.89,64334.43,6.336
MAI,1051258.3,987236.86,64021.44,6.09
JUN,1144916.86,1080243.36,64673.5,5.649
JUL,1189511.26,1130299.7,59211.56,4.978
AGO,1082950.95,1018925.57,64025.38,5.912
SET,1031786.29,966861.65,64924.64,6.292
OUT,1058766.29,994165.78,64600.51,6.101
NOV,1163254.84,1122919.02,40335.82,3.467
DEZ,1154141.31,1090578.95,63562.36,5.507
TOTAIS,13489847.359999998,12750132.78,739714.58,5.483491104527962
