MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4056,0,1479397,-1,0.0,0.0,0.0,0.0,133199.04,0.0,0.0,0.0,0.0,0.0,221909.55,-0.15,547376.89,-0.59,902484.74
FEV,4057,0,1525290,-1,0.0,0.0,0.0,0.0,133231.88,0.0,0.0,0.0,0.0,0.0,228793.5,-0.15,564357.3,-0.59,926381.94
MAR,4055,0,1638284,-1,0.0,0.0,0.0,0.0,133166.2,0.0,0.0,0.0,0.0,0.0,245742.6,-0.15,606165.08,-0.59,985073.14
ABR,3565,0,1259222,-1,0.0,0.0,435.0,0.0,117074.6,0.0,11858.1,0.0,0.0,0.0,188883.3,-0.15,465912.14,-0.59,783727.4
MAI,3534,0,1312747,-2,0.0,0.0,466.0,0.0,116056.56,0.0,12703.16,0.0,0.0,0.0,196912.05,-0.3,485716.39,-1.18,811386.68
JUN,4051,0,1470936,-2,0.0,0.0,0.0,0.0,133034.84,0.0,0.0,0.0,0.0,0.0,220640.4,-0.3,544246.32,-1.18,897920.08
JUL,4056,0,1477015,-2,0.0,0.0,0.0,0.0,133199.04,0.0,0.0,0.0,0.0,0.0,221552.25,-0.3,546495.55,-1.18,901245.36
AGO,3535,0,1377868,-1,0.0,0.0,465.0,0.0,116089.4,0.0,12675.9,0.0,0.0,0.0,206680.2,-0.15,509811.16,-0.59,845255.92
SET,3534,0,1288633,-2,0.0,0.0,466.0,0.0,116056.56,0.0,12703.16,0.0,0.0,0.0,193294.95,-0.3,476794.21,-1.18,798847.4
OUT,3975,0,1329162,-1,0.0,0.0,25.0,0.0,130539.0,0.0,681.5,0.0,0.0,0.0,199374.3,-0.15,491789.94,-0.59,822384.0
NOV,4049,0,1418366,-1,0.0,0.0,0.0,0.0,132969.16,0.0,0.0,0.0,0.0,0.0,212754.9,-0.15,524795.42,-0.59,870518.74
DEZ,4055,0,1438404,-1,0.0,0.0,0.0,0.0,133166.2,0.0,0.0,0.0,0.0,0.0,215760.6,-0.15,532209.48,-0.59,881135.54
TOTAIS,4057,0,17015324,-16,,,,,,,,,,,,,,,10426360.940000001
